indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Age Distribution,MAR-A001,MAR-A001-CCRA-001,"RGPH 2024 — résultats interactifs (démographie, habitat, services)",Haut-Commissariat au Plan (HCP),Hybrid,Population counts/structure; housing conditions; access to basic services proxies usable for exposure and vulnerability,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Morocco,Commune / prefecture-province (interactive tables & maps; finest published unit varies by theme),city_or_municipality,present,2024 census,Census cycle (~10 years) + thematic releases,Interactive web / downloadable tables (theme-dependent),Open,Not fully stated (public HCP results),No,https://resultats2024.rgphapps.ma/,https://www.hcp.ma/Plateforme-interactive-du-RGPH-2024_a4026.html,"Official 2024 census results platform with demographic, education, employment and housing-condition indicators.",Not a bulk city-grid API; commune extracts may require manual download; income/poverty often via separate HCP products.,High,Primary official
Age Distribution,MAR-A005,MAR-A005-CCRA-001,"WorldPop age-sex structures (MAR, ~100 m)",WorldPop / University of Southampton,Vulnerability,Age structure grids for share <5 and elderly (Age Distribution),CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Morocco,~100 m raster,modeled_grid,present;2030,2015–2030 (R2025A),Product releases,GeoTIFF,Open,CC BY 4.0 (typical),Yes,https://hub.worldpop.org/geodata/summary?id=105487,https://hub.worldpop.org/,Age/sex disaggregated population grids to build sensitive-age vulnerability layers.,Modeled redistribution of census/survey structures; validate against RGPH commune totals where possible.,High,International modeled
Age Distribution,MAR-A007,MAR-A007-CCRA-001,"Morocco — Risk Assessment Indicators (HeiGIT GAIA / HDX, ADM2)",HeiGIT (via HDX),Hybrid,"ADM2 demographics, vulnerability, facilities, flood exposure composites",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Morocco,Admin level 2,state_or_province,present,Pipeline build from WorldPop/OSM/GEE (published on HDX),As publisher refreshes,CSV,Open,See HDX dataset,Yes (HDX),https://data.humdata.org/dataset/morocco---risk-assessment-indicators,https://data.humdata.org/dataset/morocco---risk-assessment-indicators,Pre-aggregated risk-assessment indicators including flood exposure at 30 cm depth for multiple return periods.,"Province/prefecture grain — useful screening, not intra-city hotspots.",Medium,Research/NGO
Age Distribution,MAR-A039,MAR-A039-CCRA-001,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (geospatial-data / heat_risk),Hybrid,Composite heat risk R=(H×E×V)^(1/3),CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,City AOI (published POA/MN). Runnable for MAR cities.,~250 m,modeled_grid,present,Static composite,Per city pipeline run,COG + tiles + optional zonal vector,Internal catalog/S3 when published,CC BY 4.0,Tiles/COG when published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/heat_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,"OEF heat risk screening. Catalog: poa_heat_risk, plymouth_heat_risk, …",Depends on heat hazard season config + local E/V for MAR.,High,OEF derived screening
Age Distribution,MAR-A042,MAR-A042-CCRA-001,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation (geospatial-data CCRA V layer),Vulnerability,Shared vulnerability score (sensitive ages / social composite) for risk screening,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,City AOI (POA IBGE; MN ACS; MAR → RGPH/WorldPop age + poverty proxies),Neighborhood / block-group polygons burned to hazard grid,neighborhood_or_small_area,present,Aligned to local socioeconomic source,Per city pipeline run,COG / GPKG,Internal when published,CC BY 4.0 (product); source licenses vary,When published,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,"OEF shared vulnerability score (e.g. poa_vulnerability, plymouth_vulnerability) combined with H and E into risk.",Indicator composition is site-specific; MAR should map to Age Distribution + income/poverty from HCP.,High,OEF derived screening
Agricultural GDP share,MAR-A024,MAR-A024-CCRA-002,"Indicateurs sectoriels (agriculture, énergie, eau, transport…) — data.gov.ma",Portail Open Data Maroc (sources administratives),Hybrid,"National sector indicators: precip means, crops, livestock, energy balance, water, roads",CCRA-002,Food Security,Droughts; Floods,Exposure,Morocco,National (some series),national,present,~2012–2022 workbook,Irregular batches,XLSX,Open,ODbL (stated),Unknown (CKAN),https://www.data.gov.ma/data/dataset/indicateurs-sectoriels-2012-2022,https://www.data.gov.ma/,"National open workbook of sectoral indicators including agriculture, energy, water and transport proxies.",Mostly national aggregates — needs downscaling for city CCRA.,High,Primary official
Agricultural GDP share,MAR-A025,MAR-A025-CCRA-002,Agriculture et pêche — open data MEF / data.gov.ma,Ministère de l’Économie et des Finances (via data.gov.ma),Exposure,Agriculture & fisheries statistics tables,CCRA-002,Food Security,Droughts; Floods,Exposure,Morocco,National / sector tables,national,present,Multi-year series (portal resource),Portal updates,Tables / portal resources,Open,ODbL (portal),Yes (CKAN JSON),https://data.gov.ma/data/dataset/agriculture-et-peche,https://data.gov.ma/data/dataset/agriculture-et-peche,Open agriculture & fisheries datasets on the national portal.,Limited city/commune agricultural establishment density; MAPMDREF yearbooks may be richer but PDF-heavy.,Medium,Primary official
Agricultural establishment density,MAR-A025,MAR-A025-CCRA-003,Agriculture et pêche — open data MEF / data.gov.ma,Ministère de l’Économie et des Finances (via data.gov.ma),Exposure,Agriculture & fisheries statistics tables,CCRA-003,Food Security,Droughts; Floods,Exposure,Morocco,National / sector tables,national,present,Multi-year series (portal resource),Portal updates,Tables / portal resources,Open,ODbL (portal),Yes (CKAN JSON),https://data.gov.ma/data/dataset/agriculture-et-peche,https://data.gov.ma/data/dataset/agriculture-et-peche,Open agriculture & fisheries datasets on the national portal.,Limited city/commune agricultural establishment density; MAPMDREF yearbooks may be richer but PDF-heavy.,Medium,Primary official
Agricultural establishment density,MAR-A026,MAR-A026-CCRA-003,Crop and irrigation types ground-truth (5 major agricultural regions),Research dataset (Sci Data / Nature portfolio),Vulnerability,Parcel-level crop type + irrigation system (dependence on irrigation proxy),CCRA-003,Food Security,Droughts; Floods,Exposure,"El Gharb, Tadla, Doukkala, El Haouz, Souss","~10,000 geolocated parcels",facility_or_asset,present,Dec 2023–Jan 2025 survey window,One-off research release,Geodata + photos,Open,See article,No,https://doi.org/10.1038/s41597-026-06993-y,https://doi.org/10.1038/s41597-026-06993-y,Open ground-truth parcels with irrigation system labels across Morocco’s main irrigated plains.,Not national complete; sample for EO calibration rather than census of all irrigated land.,High,Research/NGO
Agricultural land area,MAR-A020,MAR-A020-CCRA-004,ESA WorldCover / Dynamic World land cover,ESA / Google+WRI (Dynamic World),Hybrid,Natural vegetation cover and land-cover context,CCRA-004,Food Security,Droughts; Floods,Exposure,Global (incl. Morocco),10 m,modeled_grid,present,Annual / near-real-time (DW),Product cadence,GeoTIFF / GEE,Open,Open (see product),Yes,https://esa-worldcover.org/,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1,Land-cover rasters for natural vegetation and agricultural land proxies.,Class confusion in mosaic landscapes; not a biodiversity intactness metric.,High,International modeled
Agricultural land area,MAR-A024,MAR-A024-CCRA-004,"Indicateurs sectoriels (agriculture, énergie, eau, transport…) — data.gov.ma",Portail Open Data Maroc (sources administratives),Hybrid,"National sector indicators: precip means, crops, livestock, energy balance, water, roads",CCRA-004,Food Security,Droughts; Floods,Exposure,Morocco,National (some series),national,present,~2012–2022 workbook,Irregular batches,XLSX,Open,ODbL (stated),Unknown (CKAN),https://www.data.gov.ma/data/dataset/indicateurs-sectoriels-2012-2022,https://www.data.gov.ma/,"National open workbook of sectoral indicators including agriculture, energy, water and transport proxies.",Mostly national aggregates — needs downscaling for city CCRA.,High,Primary official
Agricultural land area,MAR-A025,MAR-A025-CCRA-004,Agriculture et pêche — open data MEF / data.gov.ma,Ministère de l’Économie et des Finances (via data.gov.ma),Exposure,Agriculture & fisheries statistics tables,CCRA-004,Food Security,Droughts; Floods,Exposure,Morocco,National / sector tables,national,present,Multi-year series (portal resource),Portal updates,Tables / portal resources,Open,ODbL (portal),Yes (CKAN JSON),https://data.gov.ma/data/dataset/agriculture-et-peche,https://data.gov.ma/data/dataset/agriculture-et-peche,Open agriculture & fisheries datasets on the national portal.,Limited city/commune agricultural establishment density; MAPMDREF yearbooks may be richer but PDF-heavy.,Medium,Primary official
Agricultural land area,MAR-A026,MAR-A026-CCRA-004,Crop and irrigation types ground-truth (5 major agricultural regions),Research dataset (Sci Data / Nature portfolio),Vulnerability,Parcel-level crop type + irrigation system (dependence on irrigation proxy),CCRA-004,Food Security,Droughts; Floods,Exposure,"El Gharb, Tadla, Doukkala, El Haouz, Souss","~10,000 geolocated parcels",facility_or_asset,present,Dec 2023–Jan 2025 survey window,One-off research release,Geodata + photos,Open,See article,No,https://doi.org/10.1038/s41597-026-06993-y,https://doi.org/10.1038/s41597-026-06993-y,Open ground-truth parcels with irrigation system labels across Morocco’s main irrigated plains.,Not national complete; sample for EO calibration rather than census of all irrigated land.,High,Research/NGO
Areas of global conservation value,MAR-A021,MAR-A021-CCRA-005,World Database on Protected Areas (WDPA),UNEP-WCMC / IUCN,Exposure,Protected areas polygons,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Global (incl. Morocco),Protected-area polygons,facility_or_asset,present,Continuous updates,Monthly-ish,SHP / FileGDB,Open (registration),WDPA terms,Yes,https://www.protectedplanet.net/,https://www.protectedplanet.net/en/thematic-areas/wdpa,"Global protected areas database covering Moroccan national parks, reserves, Ramsar, etc.",National ANEF SIPN may be richer but not fully open; WDPA completeness varies.,High,International modeled
Areas of global conservation value,MAR-A023,MAR-A023-CCRA-005,Key Biodiversity Areas / conservation-value layers,BirdLife / KBA Partnership (and national SIBE listings),Vulnerability,Areas of global conservation value,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Global + Morocco SIBE/PDAP sites (national list),Site polygons / listed sites,facility_or_asset,present,KBA updates; PDAP historical list,Periodic,SHP / tables,Open (KBA); national lists often PDF,See KBA,Yes (KBA),https://www.keybiodiversityareas.org/,https://www.environnement.gov.ma/fr/partenariat-cooperation/115-theme/biodiversite/217-aires-proteges,Global KBAs plus Moroccan SIBE/national park documentation for conservation-value exposure/vulnerability.,Official Moroccan GIS of all SIBE not consistently bulk-open.,Medium,Research/NGO
Biodiversity Intactness Index (BII),MAR-A022,MAR-A022-CCRA-006,Biodiversity Intactness Index (BII) / related intactness layers,Natural History Museum / GEO BON community products,Vulnerability,Biodiversity intactness,CCRA-006,Biodiversity,Droughts; Heatwaves,Vulnerability,Global (incl. Morocco),Gridded intactness,modeled_grid,present,Model epoch,Product versions,GeoTIFF,Open / research access,See product,Varies,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,Modeled biodiversity intactness as vulnerability/sensitivity for biodiversity sector.,Global ecological model — not Morocco-specific field inventory.,Medium,International modeled
Confirmed disease cases,NO-COVERAGE-CCRA-007,NO-COVERAGE-CCRA-007,No suitable dataset identified,n/a,Gap,No suitable public dataset identified in this pass,CCRA-007,Public Health,Diseases,Vulnerability,Morocco,n/a,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,"Explicit gap after searching national portals, HCP, ABH/DGM, HDX, and standard global rasters.",May exist inside restricted agency systems or municipal GIS not published.,Medium,Gap
