sector_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_gpc_sector,geographic_coverage,geographic_granularity,granularity_class,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Residential buildings,GBR-001,GBR-001-I.1,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),Emissions,National GHG by IPCC sector/gas; emission factors and methods; DA inventories for England Scotland Wales NI,I.1,United Kingdom,National; Devolved Administrations,state_or_province,1990–2024 (NID 2026 submission),Annual,PDF / XLSX / machine-readable CSV (NAEI),Open,UK Open Government Licence (OGL),No,https://naei.energysecurity.gov.uk/greenhouse-gases/greenhouse-gas-emissions-data,https://naei.energysecurity.gov.uk/,"Official UNFCCC NID/GHGI for the UK with pivot tables, CRT/CSV products and DA inventories.",Not municipal boundary; use LA GHG statistics for city-scale allocation.,High,Primary official
Residential buildings,GBR-002,GBR-002-I.1,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),Emissions,"LA/regional end-user GHG by sector (buildings, industry, transport, waste, agriculture, LULUCF); nationally consistent city-proxy inventory",I.1,United Kingdom,Local authority; region; Protected Landscapes,city_or_municipality,2005–2024,Annual,CSV / XLSX / PDF statistical release,Open,UK Open Government Licence (OGL),No,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-greenhouse-gas-emissions-statistics-2005-to-2024,https://naei.energysecurity.gov.uk/data/maps/local-authorities,Nationally consistent LA GHG emissions — primary UK city/local inventory product derived from NAEI + subnational energy.,"Excludes aviation, shipping, military transport and F-gases at LA level; end-user framing differs from territorial GPC Scope splits in places.",High,Primary official
Residential buildings,GBR-003,GBR-003-I.1,Subnational electricity and gas consumption statistics (LA / MSOA / LSOA),DESNZ,Activity,Metered electricity and gas consumption by domestic/non-domestic; LA and small-area geography for city inventories,I.1,Great Britain (NI via related products),Local authority; MSOA/IZ; LSOA/DZ (domestic); postcode products,neighborhood_or_small_area,~2005–2024 (product-dependent),Annual,CSV / ODS / Excel,Open,UK Open Government Licence (OGL),No,https://www.gov.uk/government/collections/sub-national-electricity-consumption-data,https://www.gov.uk/government/collections/sub-national-gas-consumption-data,Official small-area electricity and gas meter consumption — core activity data for UK stationary energy city inventories.,Gas weather-corrected; electricity not; LSOA only domestic; manufacturing vs commercial split limited in non-domestic class.,High,Primary official
Residential buildings,GBR-004,GBR-004-I.1,Digest of UK Energy Statistics (DUKES) / Energy Trends,DESNZ,Activity,National energy balance by fuel and consuming sector; generation mix; heat and other fuels context,I.1,United Kingdom,National; some DA/regional tables,state_or_province,Long annual series (DUKES); monthly Energy Trends,Annual / monthly,Excel / ODS / PDF,Open,UK Open Government Licence (OGL),No,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,https://www.gov.uk/government/collections/energy-trends,Core UK energy balance and generation statistics underpinning inventory and city downscaling.,Not LA meter data; city inventories should prefer subnational electricity/gas products.,High,Primary official
Residential buildings,GBR-005,GBR-005-I.1,Greenhouse gas reporting conversion factors (company reporting),DESNZ,Hybrid,"UK emission factors for fuels, electricity, transport, waste, water, refrigerants — activity-to-emissions conversion",I.1,United Kingdom,National factors (location/market-based electricity options),national,Annual editions (current year + archive),Annual,XLSX / CSV,Open,UK Open Government Licence (OGL),No,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,Standard UK GHG conversion factors widely used in city and organisational inventories.,Company-reporting framing; electricity factors are national/grid averages unless location-based alternatives applied.,High,Primary official
Residential buildings,GBR-017,GBR-017-I.1,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),Hybrid,"GPC-style London inventory: stationary energy, transport, waste, IPPU, AFOLU; borough energy/emissions",I.1,Greater London,London; borough,city_or_municipality,Multi-year series through 2023 LEGGI,Annual,XLSX / CSV / explorer,Open,As stated on London Datastore,No,https://data.london.gov.uk/dataset/leggi/,https://apps.london.gov.uk/leggi-explorer,Mature city GHG/energy inventory for London with borough breakdowns — UK reference city product.,London-specific methodology; not all UK cities publish equivalent open inventories.,High,City official
Residential buildings,GBR-020,GBR-020-I.1,ONS UK Environmental Accounts (energy & GHG),Office for National Statistics (ONS),Hybrid,SEEA-style energy use and GHG accounts by industry/household — complementary national framing,I.1,United Kingdom,National; industry,national,Annual accounts series,Annual,Tables / CSV,Open,UK Open Government Licence (OGL),Yes (ONS API),https://www.ons.gov.uk/economy/environmentalaccounts,https://www.ons.gov.uk/economy/environmentalaccounts,Official environmental-economic accounts complementary to the territorial GHGI.,Not GPC city inventory; industry classification differs from IPCC/GPC.,High,Primary official
Residential buildings,GBR-021,GBR-021-I.1,Subnational total final energy / residual fuels consumption (non-gas non-electricity),DESNZ / NAEI,Activity,"LA estimates of other fuels (coal, oil, bioenergy, etc.) beyond electricity/gas meters",I.1,United Kingdom,Local authority; region,city_or_municipality,Aligned with subnational energy/NAEI products (~2005 onward),Annual,Excel / supporting NAEI LA pages,Open,UK Open Government Licence (OGL),No,https://naei.energysecurity.gov.uk/data/maps/local-authorities,https://www.gov.uk/government/collections/total-final-energy-consumption-at-sub-national-level,Subnational residual/other fuel consumption estimates for stationary energy beyond meters.,More modelled than meter data; sector splits coarser than electricity/gas.,High,Primary official
Residential buildings,GBR-024,GBR-024-I.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products for cross-check,I.1,Global including UK,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,Modeled gap-fill/cross-check versus DESNZ LA GHG / GHGI.,Prefer official UK sources when available.,High,International modeled
Commercial & institutional buildings,GBR-001,GBR-001-I.2,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),Emissions,National GHG by IPCC sector/gas; emission factors and methods; DA inventories for England Scotland Wales NI,I.2,United Kingdom,National; Devolved Administrations,state_or_province,1990–2024 (NID 2026 submission),Annual,PDF / XLSX / machine-readable CSV (NAEI),Open,UK Open Government Licence (OGL),No,https://naei.energysecurity.gov.uk/greenhouse-gases/greenhouse-gas-emissions-data,https://naei.energysecurity.gov.uk/,"Official UNFCCC NID/GHGI for the UK with pivot tables, CRT/CSV products and DA inventories.",Not municipal boundary; use LA GHG statistics for city-scale allocation.,High,Primary official
