indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Age Distribution,GBR-A001,GBR-A001-CCRA-001,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",Office for National Statistics (ONS),Hybrid,"Population density, age distribution, housing/WASH proxies, household deprivation for E/V",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,England & Wales (Census 2021); Scotland/NI via NRS/NISRA parallels,LSOA / MSOA (OA available for some themes),neighborhood_or_small_area,present,2021 Census,Census cycle (10 years),CSV / Nomis / ONS API,Open,OGL / ONS terms,Yes,https://www.ons.gov.uk/census,https://www.ons.gov.uk/,"UK gold-standard neighbourhood E/V: age, housing (central heating/overcrowding), deprivation dimensions at LSOA — city CCRA ready.",Piped water nearly universal in urban UK; use housing deprivation carefully. Devolved stats for Scotland/NI.,High,Primary official
Age Distribution,GBR-A033,GBR-A033-CCRA-001,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),Hybrid,Heat risk composite,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Pipeline-ready,~250 m,modeled_grid,present,Static,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/heat_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF heat risk with Census/IMD V.,Season config.,High,OEF derived screening
Age Distribution,GBR-A036,GBR-A036-CCRA-001,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,Vulnerability,"Shared V — age, IMD income, housing deprivation, fuel poverty",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,City AOI,LSOA,neighborhood_or_small_area,present,Census/IMD-aligned,Per city run,COG / GPKG,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF shared V from Census + IMD + fuel poverty — among the richest V stacks in this country set.,Composition site-specific; harmonise nation IMD if multi-nation UK.,High,OEF derived screening
Agricultural GDP share,GBR-A016,GBR-A016-CCRA-002,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",Defra / RPA / devolved administrations,Exposure,"Agricultural land area, production, holdings, irrigation context",CCRA-002,Food Security,Droughts; Floods,Exposure,UK (nation-specific agri stats),Field/parcel products (CROME/CE) + survey geographies,facility_or_asset,present,Annual surveys / crop maps,Annual,GeoTIFF / tables,Open / registration,OGL,Partial,https://www.data.gov.uk/,https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs,Strong agri exposure stack for food-security indicators.,Irrigation dependence less central than in arid countries; still map irrigated holdings where published.,High,Primary official
Agricultural GDP share,GBR-A020,GBR-A020-CCRA-002,ONS / OBR National Accounts — agriculture & industry GVA shares,Office for National Statistics,Vulnerability,Agricultural and industrial GDP/GVA share,CCRA-002,Food Security,Droughts; Floods,Exposure,UK,National / regional (ITL),national,present,Annual/quarterly,Quarterly,Tables,Open,OGL,Yes,https://www.ons.gov.uk/,https://www.ons.gov.uk/,Official sectoral GVA for economic dependence.,Needs downscaling for city CCRA.,High,Primary official
Agricultural establishment density,GBR-A016,GBR-A016-CCRA-003,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",Defra / RPA / devolved administrations,Exposure,"Agricultural land area, production, holdings, irrigation context",CCRA-003,Food Security,Droughts; Floods,Exposure,UK (nation-specific agri stats),Field/parcel products (CROME/CE) + survey geographies,facility_or_asset,present,Annual surveys / crop maps,Annual,GeoTIFF / tables,Open / registration,OGL,Partial,https://www.data.gov.uk/,https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs,Strong agri exposure stack for food-security indicators.,Irrigation dependence less central than in arid countries; still map irrigated holdings where published.,High,Primary official
Agricultural land area,GBR-A016,GBR-A016-CCRA-004,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",Defra / RPA / devolved administrations,Exposure,"Agricultural land area, production, holdings, irrigation context",CCRA-004,Food Security,Droughts; Floods,Exposure,UK (nation-specific agri stats),Field/parcel products (CROME/CE) + survey geographies,facility_or_asset,present,Annual surveys / crop maps,Annual,GeoTIFF / tables,Open / registration,OGL,Partial,https://www.data.gov.uk/,https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs,Strong agri exposure stack for food-security indicators.,Irrigation dependence less central than in arid countries; still map irrigated holdings where published.,High,Primary official
Areas of global conservation value,GBR-A018,GBR-A018-CCRA-005,Natural England / NRW / NatureScot protected sites + WDPA,Natural England / NRW / NatureScot / JNCC,Exposure,Protected areas and conservation-value sites,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,UK,SSSI/SAC/SPA/NNR polygons etc.,facility_or_asset,present,Continuous,Periodic,SHP / GPKG,Open,OGL,Yes,https://naturalengland-defra.opendata.arcgis.com/,https://www.protectedplanet.net/,Official UK protected-site GIS — preferred over WDPA alone.,WDPA as global complement.,High,Primary official
Areas of global conservation value,GBR-A019,GBR-A019-CCRA-005,Biodiversity Intactness Index + KBAs (UK),NHM / BirdLife,Vulnerability,BII and areas of global conservation value,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,UK,Gridded / sites,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA complements to statutory protected sites.,Global models.,Medium,Research/NGO
Biodiversity Intactness Index (BII),GBR-A019,GBR-A019-CCRA-006,Biodiversity Intactness Index + KBAs (UK),NHM / BirdLife,Vulnerability,BII and areas of global conservation value,CCRA-006,Biodiversity,Droughts; Heatwaves,Vulnerability,UK,Gridded / sites,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA complements to statutory protected sites.,Global models.,Medium,Research/NGO
