indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Age Distribution,CAN-A001,CAN-A001-CCRA-001,"Statistics Canada Census of Population 2021 — Dissemination Area profiles (age, income, housing, dwelling)",Statistics Canada,Hybrid,"Population density, age distribution, income/LIM, housing quality proxies for E/V",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Canada,Dissemination Area (DA; ~400–700 people) — finest standard census unit,neighborhood_or_small_area,present,2021 Census (+ 2016 comparable),Census cycle (5 years),CSV / Beyond 20/20 / Census Profile API (SDMX),Open,Statistics Canada Open Licence,Yes (Census Profile WDS / SDMX),https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/index.cfm?Lang=E,https://www.statcan.gc.ca/en/developers,"National gold-standard E/V backbone at DA: age, LIM-AT/LICO, shelter cost burden, dwelling characteristics. Same grain used in OEF MN ACS-style CCRA.",Piped water/sanitation nearly universal in urban Canada — use housing/plumbing fields carefully; Indigenous/remote gaps remain.,High,Primary official
Age Distribution,CAN-A003,CAN-A003-CCRA-001,Canadian Area-Level Social Determinants of Health Indicators (CASDOHI) / DA socioeconomic compilations,Research compilations from StatCan Census Profiles,Vulnerability,"Harmonized DA SDOH indicators (income, housing, labour, ethnocultural)",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Canada,Dissemination Area,neighborhood_or_small_area,present,2011/2016/2021 harmonized,Research releases,Tabular (research datasets),Open (research),See publications,No,https://doi.org/10.1101/2025.07.11.25331136,https://data.mendeley.com/datasets/fmvtcn9g4v/1,User-friendly DA SDOH packs derived from Census Profiles — accelerates V layer builds.,Secondary to raw StatCan profiles for authoritative citation.,High,Research/NGO
Age Distribution,CAN-A033,CAN-A033-CCRA-001,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),Hybrid,Heat risk composite,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Pipeline-ready for Canadian cities,~250 m,modeled_grid,present,Static,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/heat_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF heat risk with StatCan age/income V.,Season config for CAN cities.,High,OEF derived screening
Age Distribution,CAN-A036,CAN-A036-CCRA-001,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,Vulnerability,"Shared V — age, LIM, housing from Census",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,City AOI,DA,neighborhood_or_small_area,present,Census-aligned,Per city run,COG / GPKG,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF shared V from StatCan DA SDOH fields (closest analogue to Plymouth ACS V).,Composition site-specific.,High,OEF derived screening
Agricultural GDP share,CAN-A016,CAN-A016-CCRA-002,AAFC Annual Crop Inventory + Census of Agriculture,Agriculture and Agri-Food Canada / Statistics Canada,Exposure,"Agricultural land area, crop types, farm establishments, irrigation context",CCRA-002,Food Security,Droughts; Floods,Exposure,Canada,30 m crop inventory; Census of Agriculture geographies,modeled_grid,present,Annual ACI; CoA 5-year,Annual / census,GeoTIFF / tables,Open,OGL / StatCan,Yes,https://open.canada.ca/,https://www.statcan.gc.ca/en/census-agriculture,Strong agricultural exposure stack: ACI rasters + Census of Agriculture statistics.,Irrigation dependence may need provincial irrigation district layers.,High,Primary official
Agricultural GDP share,CAN-A020,CAN-A020-CCRA-002,StatCan National Accounts / provincial GDP by industry,Statistics Canada,Vulnerability,Agricultural and industrial GDP shares,CCRA-002,Food Security,Droughts; Floods,Exposure,Canada,National / provincial,national,present,Annual/quarterly,Quarterly,Tables / CANSIM,Open,StatCan Open Licence,Yes,https://www.statcan.gc.ca/,https://www.statcan.gc.ca/,Official sectoral GDP for economic dependence indicators.,Needs downscaling for city CCRA.,High,Primary official
Agricultural establishment density,CAN-A016,CAN-A016-CCRA-003,AAFC Annual Crop Inventory + Census of Agriculture,Agriculture and Agri-Food Canada / Statistics Canada,Exposure,"Agricultural land area, crop types, farm establishments, irrigation context",CCRA-003,Food Security,Droughts; Floods,Exposure,Canada,30 m crop inventory; Census of Agriculture geographies,modeled_grid,present,Annual ACI; CoA 5-year,Annual / census,GeoTIFF / tables,Open,OGL / StatCan,Yes,https://open.canada.ca/,https://www.statcan.gc.ca/en/census-agriculture,Strong agricultural exposure stack: ACI rasters + Census of Agriculture statistics.,Irrigation dependence may need provincial irrigation district layers.,High,Primary official
Agricultural land area,CAN-A016,CAN-A016-CCRA-004,AAFC Annual Crop Inventory + Census of Agriculture,Agriculture and Agri-Food Canada / Statistics Canada,Exposure,"Agricultural land area, crop types, farm establishments, irrigation context",CCRA-004,Food Security,Droughts; Floods,Exposure,Canada,30 m crop inventory; Census of Agriculture geographies,modeled_grid,present,Annual ACI; CoA 5-year,Annual / census,GeoTIFF / tables,Open,OGL / StatCan,Yes,https://open.canada.ca/,https://www.statcan.gc.ca/en/census-agriculture,Strong agricultural exposure stack: ACI rasters + Census of Agriculture statistics.,Irrigation dependence may need provincial irrigation district layers.,High,Primary official
Areas of global conservation value,CAN-A018,CAN-A018-CCRA-005,Canadian Protected and Conserved Areas Database (CPCAD) / WDPA,ECCC / UNEP-WCMC,Exposure,Protected areas,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Canada,PA polygons,facility_or_asset,present,Continuous updates,Periodic,SHP / GDB,Open,OGL-Canada,Yes,https://www.canada.ca/en/environment-climate-change/services/national-wildlife-areas/protected-conserved-areas-database.html,https://www.protectedplanet.net/,Official Canadian protected and conserved areas database — preferred over WDPA alone.,WDPA as global complement.,High,Primary official
Areas of global conservation value,CAN-A019,CAN-A019-CCRA-005,Biodiversity Intactness Index + KBAs (Canada),NHM / BirdLife,Vulnerability,BII and conservation-value areas,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Canada,Gridded / site polygons,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA for biodiversity vulnerability.,Global models — complement with ECCC biodiversity assessments.,Medium,Research/NGO
