iso3,country,related_ccra_indicator,indicator_name,rank,dataset_id,dataset_name,publisher,granularity_class,authoritative_tier,confidence_level,horizons_covered,role
GBR,United Kingdom,CCRA-001,Age Distribution,1,GBR-A001,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",Office for National Statistics (ONS),neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-001,Age Distribution,2,GBR-A036,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,neighborhood_or_small_area,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-001,Age Distribution,3,GBR-A033,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-002,Agricultural GDP share,1,GBR-A016,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",Defra / RPA / devolved administrations,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-002,Agricultural GDP share,2,GBR-A020,ONS / OBR National Accounts — agriculture & industry GVA shares,Office for National Statistics,national,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-003,Agricultural establishment density,1,GBR-A016,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",Defra / RPA / devolved administrations,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-004,Agricultural land area,1,GBR-A016,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",Defra / RPA / devolved administrations,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-005,Areas of global conservation value,1,GBR-A018,Natural England / NRW / NatureScot protected sites + WDPA,Natural England / NRW / NatureScot / JNCC,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-005,Areas of global conservation value,2,GBR-A019,Biodiversity Intactness Index + KBAs (UK),NHM / BirdLife,modeled_grid,Research/NGO,Medium,present,primary_mapping
GBR,United Kingdom,CCRA-006,Biodiversity Intactness Index (BII),1,GBR-A019,Biodiversity Intactness Index + KBAs (UK),NHM / BirdLife,modeled_grid,Research/NGO,Medium,present,primary_mapping
GBR,United Kingdom,CCRA-007,Confirmed disease cases,1,GBR-A005,NHS Digital / ODS health sites + OSM healthcare POIs,NHS England / OSM,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-008,Dependence on large-scale irrigation,1,GBR-A016,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",Defra / RPA / devolved administrations,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-009,Electricity consumption,1,GBR-A023,DESNZ DUKES / Digest of UK Energy Statistics; subnational electricity & gas; WRI power plants,DESNZ / WRI,neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-010,Energy poverty,1,GBR-A023,DESNZ DUKES / Digest of UK Energy Statistics; subnational electricity & gas; WRI power plants,DESNZ / WRI,neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-010,Energy poverty,2,GBR-A024,DESNZ Fuel Poverty statistics (England) + devolved fuel poverty measures,DESNZ / devolved governments,neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-010,Energy poverty,3,GBR-A002,English Indices of Deprivation (IoD/IMD) + Welsh/Scottish/NI IMD,MHCLG / Welsh Government / Scottish Government / NISRA,neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-010,Energy poverty,4,GBR-A001,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",Office for National Statistics (ONS),neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-011,Flood Threat Index,1,GBR-A006,Environment Agency — Risk of Flooding from Rivers and Sea (RoFRS) + climate-change scenarios,Environment Agency (Defra DSP),modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-011,Flood Threat Index,2,GBR-A007,Environment Agency — Risk of Flooding from Surface Water (RoFSW) + climate change,Environment Agency,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-011,Flood Threat Index,3,GBR-A008,Flood Map for Planning — Flood Zones (+ climate change),Environment Agency,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-011,Flood Threat Index,4,GBR-A029,OEF Flood Hazard Score (city screening ensemble),Open Earth Foundation (models/flood_hazard),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-011,Flood Threat Index,5,GBR-A032,OEF Flood Risk Score H×E×V (city screening),Open Earth Foundation (flood_risk),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-012,Food production and marketing,1,GBR-A016,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",Defra / RPA / devolved administrations,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-013,Forest cover,1,GBR-A017,National Forest Inventory / Forest Research + Hansen GFC + Living England/Wales land cover,Forest Research / JNCC / UMD / EA,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-014,Forest loss,1,GBR-A017,National Forest Inventory / Forest Research + Hansen GFC + Living England/Wales land cover,Forest Research / JNCC / UMD / EA,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-015,Health and basic services access,1,GBR-A002,English Indices of Deprivation (IoD/IMD) + Welsh/Scottish/NI IMD,MHCLG / Welsh Government / Scottish Government / NISRA,neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-015,Health and basic services access,2,GBR-A001,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",Office for National Statistics (ONS),neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-015,Health and basic services access,3,GBR-A005,NHS Digital / ODS health sites + OSM healthcare POIs,NHS England / OSM,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-016,Health facility density,1,GBR-A005,NHS Digital / ODS health sites + OSM healthcare POIs,NHS England / OSM,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-017,Households in hazard-prone areas,1,GBR-A003,ONS / OS Boundary-Line & Census geographies (OA/LSOA/MSOA/LAD),ONS / Ordnance Survey,neighborhood_or_small_area,Primary official,High,n/a,primary_mapping
GBR,United Kingdom,CCRA-017,Households in hazard-prone areas,2,GBR-A012,BGS GeoSure / landslide susceptibility & mass-movement datasets,British Geological Survey,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-017,Households in hazard-prone areas,3,GBR-A006,Environment Agency — Risk of Flooding from Rivers and Sea (RoFRS) + climate-change scenarios,Environment Agency (Defra DSP),modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-017,Households in hazard-prone areas,4,GBR-A007,Environment Agency — Risk of Flooding from Surface Water (RoFSW) + climate change,Environment Agency,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-017,Households in hazard-prone areas,5,GBR-A008,Flood Map for Planning — Flood Zones (+ climate change),Environment Agency,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
