iso3,country,track,dataset_id,dataset_name,publisher,tier,cells_touched,n_cells,years_contributed,n_years,notes
ARG,Argentina,mitigation,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),"Subsecretaría de Ambiente (Secretaría de Ambiente, Turismo y Deportes)",T1,I.1;I.2;I.3;I.4;I.5;I.7;I.8;II.1;II.2;II.3;II.4;II.5;III.1;III.2;III.3;III.4;IV.1;IV.2;V.1;V.2;V.3,21,2015;2016;2017;2018;2019;2020;2021;2022;2024,9,
ARG,Argentina,mitigation,ARG-002,Asignación por jurisdicción del INGEI (desagregación provincial),Subsecretaría de Ambiente,T1,I.1;I.2;I.3;I.4;I.5;I.7;I.8;II.1;II.2;II.3;II.4;II.5;III.1;III.2;III.3;III.4;IV.1;IV.2;V.1;V.2;V.3,21,2015;2016;2017;2018;2019;2020;2021;2022,8,
ARG,Argentina,mitigation,ARG-003,Balance Energético Nacional (BEN),Secretaría de Energía,T1,I.1;I.2;I.3;I.4;I.5;II.1,6,2022;2023;2024,3,
ARG,Argentina,mitigation,ARG-004,CAMMESA — datos del Mercado Eléctrico Mayorista,CAMMESA,T1,I.4,1,,0,
ARG,Argentina,mitigation,ARG-005,ENARGAS — anuarios y estadísticas de gas natural,Ente Nacional Regulador del Gas (ENARGAS),T1,I.1;I.2;I.3;I.8,4,,0,
ARG,Argentina,mitigation,ARG-006,SESCO / estadísticas de hidrocarburos (producción petróleo y gas),Secretaría de Energía,T1,I.4;I.8,2,,0,
ARG,Argentina,mitigation,ARG-007,Volúmenes de combustibles — bocas de expendio y despacho (Res. S.E. 1104/2004 y afines),Secretaría de Energía,T1,I.1;I.2;I.3;II.1;II.5,5,,0,
ARG,Argentina,mitigation,ARG-008,INDEC — Cuenta de emisiones al aire (CEA-GEI) / cuentas ambientales,Instituto Nacional de Estadística y Censos (INDEC),T1,I.1;I.2;I.3;I.4;II.1;VI.1,6,,0,
ARG,Argentina,mitigation,ARG-009,Censo Nacional Agropecuario (CNA 2018) y estadísticas agropecuarias,INDEC / Ministerio de Agricultura (encuestas),T1,I.5;V.1;V.2;V.3,4,2018,1,
ARG,Argentina,mitigation,ARG-010,Inventario Nacional Forestal / monitoreo de bosques (UMSEF / Dirección de Bosques),Ministerio de Ambiente / Dirección Nacional de Bosques (UMSEF),T1,V.2,1,,0,
ARG,Argentina,mitigation,ARG-011,Observatorio / estadísticas de RSU (ENGIRSU y productos provinciales),Subsecretaría de Ambiente / provincias / municipios,T1,III.1;III.2;III.3,3,,0,
ARG,Argentina,mitigation,ARG-012,CEAMSE — disposición y tratamiento de RSU del AMBA,CEAMSE (Coordinación Ecológica Área Metropolitana Sociedad del Estado),T3,III.1;III.2,2,,0,
ARG,Argentina,mitigation,ARG-013,Inventario de GEI de la Ciudad de Buenos Aires (IGEI CABA) — GPC,Gobierno de la Ciudad Autónoma de Buenos Aires,T1,I.1;I.2;I.3;I.4;I.8;II.1;II.2;III.1;III.2;III.4,10,2021;2022;2023,3,
ARG,Argentina,mitigation,ARG-014,"Parque automotor / estadísticas de transporte (DNRPA, CNRT, Ministerio de Transporte)",DNRPA / CNRT / Ministerio de Transporte,T1,II.1;II.2,2,,0,
ARG,Argentina,mitigation,ARG-015,ANAC / estadísticas aeroportuarias y aviación,Administración Nacional de Aviación Civil (ANAC),T1,II.4,1,,0,
ARG,Argentina,mitigation,ARG-016,Estadísticas portuarias / fluvial-marítima (AGP y Ministerio de Transporte),Administración General de Puertos / Ministerio de Transporte,T1,II.3,1,,0,
ARG,Argentina,mitigation,ARG-017,AySA / operadores de agua y saneamiento — volúmenes de aguas residuales (AMBA y otras),AySA y empresas provinciales/municipales de agua,T1,III.4,1,,0,
ARG,Argentina,mitigation,ARG-018,ENRE / estadísticas de distribución eléctrica y consumos,Ente Nacional Regulador de la Electricidad (ENRE) / distribuidoras,T1,I.1;I.2;I.3,3,,0,
ARG,Argentina,mitigation,ARG-019,F-gases / uso de productos (INGEI IPPU + desagregación provincial parcial),Subsecretaría de Ambiente,T1,IV.2,1,,0,
ARG,Argentina,mitigation,ARG-020,EDGAR GHG gridded & cities emissions,European Commission JRC,T2,I.1;I.2;I.3;I.4;II.1;II.3;II.4;III.1;IV.1;V.1;V.2;V.3,12,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,10,
ARG,Argentina,mitigation,ARG-021,Climate TRACE inventory,Climate TRACE,T2,I.3;I.4;I.8;II.1;II.3;II.4;III.1;IV.1;V.2,9,,0,
ARG,Argentina,mitigation,ARG-022,Global Power Plant Database (Argentina),WRI / Global Energy Monitor ecosystem (GPPD),T2,I.4,1,,0,
ARG,Argentina,mitigation,ARG-023,FAOSTAT + Global Forest Watch / coberturas satelitales,FAO / WRI / Copernicus (ESA WorldCover et al.),T2,V.1;V.2;V.3,3,,0,
ARG,Argentina,mitigation,ARG-024,Datos Abiertos Energía (portal datos.gob.ar / datos.energia.gob.ar),Secretaría de Energía,T1,I.1;I.2;I.3;I.4;I.8;II.1,6,,0,
ARG,Argentina,mitigation,ARG-025,"Inventarios municipales GPC / planes locales (ej. Rosario, Córdoba, otras ciudades — series parciales)",Municipios / provincias / programas GCoM,T1,I.1;I.2;I.3;II.1;III.1;III.4,6,,0,
ARG,Argentina,adaptation,ARG-A001,"INDEC Censo Nacional de Población, Hogares y Viviendas 2022 — radios censales (edad, NBI, vivienda, agua/saneamiento)",Instituto Nacional de Estadística y Censos (INDEC),T1,CCRA-001;CCRA-010;CCRA-015;CCRA-018;CCRA-019;CCRA-020;CCRA-028;CCRA-038,8,2022;2023;2024,3,
ARG,Argentina,adaptation,ARG-A002,INDEC NBI / EPH poverty & income indicators (aglomerados + census NBI at radio),INDEC,T1,CCRA-010;CCRA-015;CCRA-020;CCRA-038,4,2022;2023;2024,3,
ARG,Argentina,adaptation,ARG-A003,INDEC Portal Geoestadístico — radios/fracciones/departamentos + IGN administrative boundaries,INDEC / Instituto Geográfico Nacional (IGN),T1,CCRA-017,1,2022,1,
ARG,Argentina,adaptation,ARG-A004,WorldPop / GHSL population grids (Argentina),WorldPop / JRC,T2,CCRA-017;CCRA-028,2,2024,1,
ARG,Argentina,adaptation,ARG-A005,Ministerio de Salud / provincial health open data + OSM healthcare POIs,Ministerio de Salud / provincias / OSM,T1,CCRA-007;CCRA-015;CCRA-016,3,2024,1,
ARG,Argentina,adaptation,ARG-A006,INA / provincial flood hazard & floodplain studies + CABA/AMBA inundación open layers,Instituto Nacional del Agua (INA) / provincias / CABA,T1,CCRA-011;CCRA-017,2,2024,1,
ARG,Argentina,adaptation,ARG-A007,SINAGIR / Defensa Civil risk inventories & municipal risk maps (flood/landslide where published),SINAGIR / municipios,T1,CCRA-011;CCRA-017,2,2024,1,
ARG,Argentina,adaptation,ARG-A008,JRC Global River Flood Hazard + WRI Aqueduct Flood,JRC / WRI,T2,CCRA-011,1,2024,1,
ARG,Argentina,adaptation,ARG-A009,NASA LHASA + Copernicus DEM / MERIT HAND (landslide drivers),NASA / ESA / MERIT,T2,CCRA-022;CCRA-023,2,2024,1,
ARG,Argentina,adaptation,ARG-A010,SMN observational climate + 3ra Comunicación Nacional / proyecciones climáticas nacionales,Servicio Meteorológico Nacional / Subsecretaría de Ambiente,T1,CCRA-024;CCRA-025;CCRA-026;CCRA-033;CCRA-035;CCRA-036;CCRA-037;CCRA-041,8,2024,1,
ARG,Argentina,adaptation,ARG-A011,CHIRPS + ERA5-Land extremes / OEF HWM & FRI inputs,UCSB CHIRPS / ECMWF / OEF,T2,CCRA-011;CCRA-024;CCRA-025;CCRA-026;CCRA-033;CCRA-036;CCRA-037,7,2024,1,
ARG,Argentina,adaptation,ARG-A012,Servicio de Hidrografía Naval (SHN) / IPCC AR6 regional SLR + Río de la Plata coastal/sudestada studies,SHN / IPCC / research–provincial coastal programs,T1,CCRA-029;CCRA-035,2,2024,1,
ARG,Argentina,adaptation,ARG-A013,SEGEMAR geological hazard / landslide inventories + provincial susceptibility (Andes/Sierras),SEGEMAR / provincias,T1,CCRA-017;CCRA-022;CCRA-023,3,2024,1,
ARG,Argentina,adaptation,ARG-A014,INDEC Censo Nacional Agropecuario 2018 + MAGyP land use / irrigation statistics,"INDEC / Ministerio de Agricultura, Ganadería y Pesca",T1,CCRA-002;CCRA-003;CCRA-004;CCRA-008;CCRA-012,5,2018;2019;2020;2021;2022;2023;2024,7,
