iso3,country,related_gpc_sector,sector_name,rank_in_sector,dataset_id,dataset_name,publisher,confidence_level,granularity_class,authoritative_tier,granularity_label
GBR,United Kingdom,I.1,Residential buildings,1,GBR-003,Subnational electricity and gas consumption statistics (LA / MSOA / LSOA),DESNZ,High,neighborhood_or_small_area,Primary official,Neighborhood / small area (city-ready)
GBR,United Kingdom,I.1,Residential buildings,2,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,I.1,Residential buildings,3,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,I.2,Commercial & institutional buildings,1,GBR-003,Subnational electricity and gas consumption statistics (LA / MSOA / LSOA),DESNZ,High,neighborhood_or_small_area,Primary official,Neighborhood / small area (city-ready)
GBR,United Kingdom,I.2,Commercial & institutional buildings,2,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,I.2,Commercial & institutional buildings,3,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,I.3,Manufacturing industries & construction,1,GBR-003,Subnational electricity and gas consumption statistics (LA / MSOA / LSOA),DESNZ,High,neighborhood_or_small_area,Primary official,Neighborhood / small area (city-ready)
GBR,United Kingdom,I.3,Manufacturing industries & construction,2,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,I.3,Manufacturing industries & construction,3,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,I.4,Energy industries,1,GBR-003,Subnational electricity and gas consumption statistics (LA / MSOA / LSOA),DESNZ,High,neighborhood_or_small_area,Primary official,Neighborhood / small area (city-ready)
GBR,United Kingdom,I.4,Energy industries,2,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,I.4,Energy industries,3,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,I.5,"Agriculture, forestry & fishing energy",1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,I.5,"Agriculture, forestry & fishing energy",2,GBR-021,Subnational total final energy / residual fuels consumption (non-gas non-electricity),DESNZ / NAEI,High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,I.5,"Agriculture, forestry & fishing energy",3,GBR-001,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),High,state_or_province,Primary official,State / province (needs downscaling to city)
GBR,United Kingdom,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",1,GBR-001,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),High,state_or_province,Primary official,State / province (needs downscaling to city)
GBR,United Kingdom,I.8,Fugitive emissions from oil & natural gas systems,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,I.8,Fugitive emissions from oil & natural gas systems,2,GBR-006,Environment Agency Pollution Inventory / UK PRTR facility emissions,Environment Agency / Defra (UK PRTR),High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
GBR,United Kingdom,I.8,Fugitive emissions from oil & natural gas systems,3,GBR-007,NAEI point sources and gridded emissions,DESNZ / NAEI (Ricardo),High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
GBR,United Kingdom,II.1,On-road transportation,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,II.1,On-road transportation,2,GBR-008,Road traffic estimates by local authority (TRA89) + vehicle licensing statistics,Department for Transport (DfT) / DVLA,High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,II.1,On-road transportation,3,GBR-009,UK road transport fuel consumption at regional and local authority level,DESNZ / NAEI,High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,II.2,Railways,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,II.2,Railways,2,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,II.2,Railways,3,GBR-001,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),High,state_or_province,Primary official,State / province (needs downscaling to city)
GBR,United Kingdom,II.3,Waterborne navigation,1,GBR-001,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),High,state_or_province,Primary official,State / province (needs downscaling to city)
GBR,United Kingdom,II.3,Waterborne navigation,2,GBR-005,Greenhouse gas reporting conversion factors (company reporting),DESNZ,High,national,Primary official,National only (needs downscaling to city)
GBR,United Kingdom,II.3,Waterborne navigation,3,GBR-011,DfT maritime / port freight statistics + shipping activity,Department for Transport,High,national,Primary official,National only (needs downscaling to city)
GBR,United Kingdom,II.4,Aviation,1,GBR-012,CAA airport / UK aviation statistics,Civil Aviation Authority (CAA),High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
GBR,United Kingdom,II.4,Aviation,2,GBR-001,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),High,state_or_province,Primary official,State / province (needs downscaling to city)
GBR,United Kingdom,II.4,Aviation,3,GBR-005,Greenhouse gas reporting conversion factors (company reporting),DESNZ,High,national,Primary official,National only (needs downscaling to city)
GBR,United Kingdom,II.5,Off-road transportation,1,GBR-006,Environment Agency Pollution Inventory / UK PRTR facility emissions,Environment Agency / Defra (UK PRTR),High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
GBR,United Kingdom,II.5,Off-road transportation,2,GBR-001,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),High,state_or_province,Primary official,State / province (needs downscaling to city)
GBR,United Kingdom,II.5,Off-road transportation,3,GBR-005,Greenhouse gas reporting conversion factors (company reporting),DESNZ,High,national,Primary official,National only (needs downscaling to city)
GBR,United Kingdom,III.1,Solid waste disposal,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,III.1,Solid waste disposal,2,GBR-013,WasteDataFlow / local authority collected waste management statistics,Defra (England) + Devolved Administrations,High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,III.1,Solid waste disposal,3,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,III.2,Biological treatment of waste,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,III.2,Biological treatment of waste,2,GBR-013,WasteDataFlow / local authority collected waste management statistics,Defra (England) + Devolved Administrations,High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,III.2,Biological treatment of waste,3,GBR-001,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),High,state_or_province,Primary official,State / province (needs downscaling to city)
GBR,United Kingdom,III.3,Incineration & open burning,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,III.3,Incineration & open burning,2,GBR-013,WasteDataFlow / local authority collected waste management statistics,Defra (England) + Devolved Administrations,High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,III.3,Incineration & open burning,3,GBR-006,Environment Agency Pollution Inventory / UK PRTR facility emissions,Environment Agency / Defra (UK PRTR),High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
GBR,United Kingdom,III.4,Wastewater treatment & discharge,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,III.4,Wastewater treatment & discharge,2,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,III.4,Wastewater treatment & discharge,3,GBR-006,Environment Agency Pollution Inventory / UK PRTR facility emissions,Environment Agency / Defra (UK PRTR),High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
GBR,United Kingdom,IV.1,Industrial processes,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,IV.1,Industrial processes,2,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,IV.1,Industrial processes,3,GBR-006,Environment Agency Pollution Inventory / UK PRTR facility emissions,Environment Agency / Defra (UK PRTR),High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
GBR,United Kingdom,IV.2,Product use,1,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,IV.2,Product use,2,GBR-001,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),High,state_or_province,Primary official,State / province (needs downscaling to city)
GBR,United Kingdom,IV.2,Product use,3,GBR-005,Greenhouse gas reporting conversion factors (company reporting),DESNZ,High,national,Primary official,National only (needs downscaling to city)
GBR,United Kingdom,V.1,Livestock,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,V.1,Livestock,2,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,V.1,Livestock,3,GBR-007,NAEI point sources and gridded emissions,DESNZ / NAEI (Ricardo),High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
GBR,United Kingdom,V.2,Land,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,V.2,Land,2,GBR-016,LULUCF emissions and removals at local authority level (UKCEH / DESNZ),UK Centre for Ecology & Hydrology / DESNZ,High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,V.2,Land,3,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,V.3,Aggregate sources & non-CO₂ emissions sources on land,1,GBR-002,UK local authority and regional greenhouse gas emissions statistics,DESNZ / NAEI (Ricardo),High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,V.3,Aggregate sources & non-CO₂ emissions sources on land,2,GBR-016,LULUCF emissions and removals at local authority level (UKCEH / DESNZ),UK Centre for Ecology & Hydrology / DESNZ,High,city_or_municipality,Primary official,City / municipality (city-ready)
GBR,United Kingdom,V.3,Aggregate sources & non-CO₂ emissions sources on land,3,GBR-001,UK Greenhouse Gas Inventory / National Inventory Document (NID),Department for Energy Security and Net Zero (DESNZ) / Ricardo (NAEI),High,state_or_province,Primary official,State / province (needs downscaling to city)
GBR,United Kingdom,VI.1,Other Scope 3,1,GBR-017,London Energy and Greenhouse Gas Inventory (LEGGI),Greater London Authority (GLA),High,city_or_municipality,City official,City / municipality (city-ready)
GBR,United Kingdom,VI.1,Other Scope 3,2,GBR-005,Greenhouse gas reporting conversion factors (company reporting),DESNZ,High,national,Primary official,National only (needs downscaling to city)
GBR,United Kingdom,VI.1,Other Scope 3,3,GBR-020,ONS UK Environmental Accounts (energy & GHG),Office for National Statistics (ONS),High,national,Primary official,National only (needs downscaling to city)
CAN,Canada,I.1,Residential buildings,1,CAN-010,BC Community Energy and Emissions Inventory (CEEI),Government of British Columbia,High,city_or_municipality,Provincial official,City / municipality (city-ready)
CAN,Canada,I.1,Residential buildings,2,CAN-011,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,I.1,Residential buildings,3,CAN-012,Calgary Community-wide GHG Inventory (Open Calgary),City of Calgary,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,I.2,Commercial & institutional buildings,1,CAN-010,BC Community Energy and Emissions Inventory (CEEI),Government of British Columbia,High,city_or_municipality,Provincial official,City / municipality (city-ready)
CAN,Canada,I.2,Commercial & institutional buildings,2,CAN-011,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,I.2,Commercial & institutional buildings,3,CAN-012,Calgary Community-wide GHG Inventory (Open Calgary),City of Calgary,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,I.3,Manufacturing industries & construction,1,CAN-010,BC Community Energy and Emissions Inventory (CEEI),Government of British Columbia,High,city_or_municipality,Provincial official,City / municipality (city-ready)
CAN,Canada,I.3,Manufacturing industries & construction,2,CAN-011,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,I.3,Manufacturing industries & construction,3,CAN-012,Calgary Community-wide GHG Inventory (Open Calgary),City of Calgary,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,I.4,Energy industries,1,CAN-011,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,High,city_or_municipality,City official,City / municipality (city-ready)
