iso3,country,track,cell_id,cell_name,covered,years_covered,year_frac,best_tier,city_ready,best_dataset_id,best_dataset_name,notes
ARG,Argentina,mitigation,I.1,Residential buildings,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,I.2,Commercial & institutional buildings,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,I.3,Manufacturing industries & construction,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,I.4,Energy industries,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,I.5,"Agriculture, forestry & fishing energy",1,10,1.0,T1,0,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,I.6,Non-specified sources,0,0,0.0,,0,,,no usable dataset / gap
ARG,Argentina,mitigation,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",1,9,0.9,T1,0,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,I.8,Fugitive emissions from oil & natural gas systems,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,II.1,On-road transportation,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,II.2,Railways,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,II.3,Waterborne navigation,1,10,1.0,T1,0,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,II.4,Aviation,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,II.5,Off-road transportation,1,9,0.9,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,III.1,Solid waste disposal,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,III.2,Biological treatment of waste,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,III.3,Incineration & open burning,1,9,0.9,T1,0,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,III.4,Wastewater treatment & discharge,1,10,1.0,T1,1,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,IV.1,Industrial processes,1,10,1.0,T1,0,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,IV.2,Product use,1,9,0.9,T1,0,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,V.1,Livestock,1,10,1.0,T1,0,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,V.2,Land,1,10,1.0,T1,0,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,V.3,Aggregate sources & non-CO₂ emissions sources on land,1,10,1.0,T1,0,ARG-001,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,mitigation,VI.1,Other Scope 3,1,0,0.0,T1,0,ARG-008,INDEC — Cuenta de emisiones al aire (CEA-GEI) / cuentas ambientales,
ARG,Argentina,adaptation,CCRA-001,Age Distribution,1,3,0.3,T1,1,ARG-A001,"INDEC Censo Nacional de Población, Hogares y Viviendas 2022 — radios censales (edad, NBI, vivienda, agua/saneamiento)",
