sector_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_gpc_sector,geographic_coverage,geographic_granularity,granularity_class,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Residential buildings,CRI-001,CRI-001-I.1,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC,Instituto Meteorológico Nacional (IMN) / Dirección de Cambio Climático (MINAE),Emissions,Emisiones/absorciones nacionales por sector IPCC; serie histórica; BTR/comunicaciones,I.1,Costa Rica,Nacional,national,1990–2021 (INGEI publicado con BTR1; series previas en SINAMECC),Ciclos de reporte (BTR/CN) + actualizaciones SINAMECC,PDF / XLSX sectoriales / SINAMECC,Open,Como indique SINAMECC/MINAE,Partial (SINAMECC open data),https://cglobal.imn.ac.cr/index.php/publications/4230/,https://cambioclimatico.minae.go.cr/inventario-nacional-de-gases-de-efecto-invernadero-ingei/,Inventario oficial UNFCCC/Paris de Costa Rica con series y hojas sectoriales.,No es inventario cantonal; usar PPCN cantonal y datos ARESEP/RECOPE para ciudades.,High,Primary official
Residential buildings,CRI-002,CRI-002-I.1,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),MINAE / Dirección de Cambio Climático,Hybrid,"Portal oficial de datos abiertos: INGEI, BNE, PPCN, indicadores de mitigación/adaptación",I.1,Costa Rica,Nacional; cantonal (PPCN); según dataset,city_or_municipality,"Según recurso (INGEI, BNE 2010–2018+, PPCN 2016–2018+)",Según dataset,CSV / dashboards / XLSX,Open,Como indique SINAMECC,Yes (open data platform),https://www.sinamecc.go.cr/datos-abiertos,https://www.sinamecc.go.cr/,"Plataforma oficial de métrica climática — acceso transversal a INGEI, BNE y PPCN.",Actualización y cobertura varían por recurso; no sustituye microdatos de utilidades.,High,Primary official
Residential buildings,CRI-003,CRI-003-I.1,Balance Nacional de Energía (BNE) — SEPSE,Secretaría de Planificación del Subsector Energía (SEPSE / MINAE),Activity,Oferta/demanda de energía por fuente y sector; base de actividad energética nacional,I.1,Costa Rica,Nacional,national,Serie anual (histórica en SINAMECC ~2010–2018+; ediciones SEPSE posteriores),Anual,XLSX / PDF / SINAMECC,Open,Como indique SEPSE/SINAMECC,Partial,https://www.sinamecc.go.cr/datos-abiertos,https://energia.minae.go.cr/,Balance energético oficial (metodología OLADE) — núcleo de actividad energética.,No es consumo por cantón; inventarios locales usan ARESEP/distribuidoras.,High,Primary official
Residential buildings,CRI-004,CRI-004-I.1,"ARESEP datos abiertos — electricidad (generación, demanda, tarifas, distribuidoras)",Autoridad Reguladora de los Servicios Públicos (ARESEP),Hybrid,Generación por fuente/planta; demanda; compras de distribuidoras; tarifas — I.1–I.4 Scope 2,I.1,Costa Rica,Nacional; empresa distribuidora; planta,national,Series periódicas (portal datos abiertos),Mensual / periódica,CSV / API / web,Open,Datos abiertos ARESEP,Yes,https://aresep.go.cr/datos-abiertos/,https://datos.aresep.go.cr/,Estadísticas eléctricas abiertas del regulador — muy útiles dado el SEN casi 100% renovable.,Consumo por cantón/cliente a menudo requiere ICE/CNFL/ESPH/JASEC; factor Scope 2 muy bajo pero no cero.,High,Primary official
Residential buildings,CRI-005,CRI-005-I.1,ARESEP / RECOPE — ventas de hidrocarburos,ARESEP / RECOPE,Activity,"Ventas de combustibles por tipo y tipo de cliente — on-road, estacionario, aviación, etc.",I.1,Costa Rica,Nacional; tipo de cliente (apertura cantonal limitada),city_or_municipality,~2010–presente (mensual),Mensual,CSV / API,Open,Datos abiertos ARESEP,Yes,https://aresep.go.cr/datos-abiertos/ventas-hidrocarburos-recope/,https://datos.aresep.go.cr/,Ventas oficiales de combustibles RECOPE — principal actividad fósil del país (transporte).,Venta ≠ consumo en el cantón; asignación municipal requiere métodos adicionales.,High,Primary official
Residential buildings,CRI-007,CRI-007-I.1,Programa País Carbono Neutralidad (PPCN) — categoría cantonal,MINAE / Dirección de Cambio Climático,Emissions,Metodología GPC-adaptada e inventarios cantonales verificados; base de datos PPCN cantonal en SINAMECC,I.1,Cantones/distritos participantes,Cantón / distrito,city_or_municipality,Base SINAMECC ~2016–2018+; inventarios individuales según cantón,Según participación cantonal,Metodología PDF / base PPCN / informes cantonales,Open (metodología y base agregada); inventarios individuales parciales,Como indique DCC,Partial,https://www.sinamecc.go.cr/,https://cambioclimatico.minae.go.cr/wp-content/uploads/2019/01/Metodologia-para-medicion-reporte-verifiacion-de-emisiones-reducciones-remociones-compensaciones-GEI-cantonal-Costa-Rica.pdf,Programa nacional de inventarios cantonales alineados a GPC — diferenciador fuerte de Costa Rica.,No todos los cantones publican series abiertas anuales; cobertura incompleta del territorio.,High,National program / cantonal
Residential buildings,CRI-008,CRI-008-I.1,BCCR — Cuenta de Energía (flujos físicos),Banco Central de Costa Rica,Hybrid,Cuentas ambientales de energía (SEEA) derivadas del BEN y ventas RECOPE,I.1,Costa Rica,Nacional; industria,national,Según publicaciones de cuentas ambientales BCCR,Periódica,PDF / tablas,Open,Como indique BCCR,No,https://www.bccr.fi.cr/indicadores-economicos/cuenta-energia,https://www.bccr.fi.cr/indicadores-economicos/DocCuentaEnergia/Metodologia-cuenta-energia.pdf,Cuenta de energía oficial complementaria al BEN e INGEI.,No es inventario GPC cantonal.,High,Primary official
Residential buildings,CRI-017,CRI-017-I.1,"Distribuidoras eléctricas — consumos por cantón/tarifa (ICE, CNFL, ESPH, JASEC y cooperativas)",ICE / CNFL / ESPH / JASEC / cooperativas de electrificación,Activity,"Consumo eléctrico facturado por tarifa y, cuando se publica, por cantón — I.1–I.3",I.1,Áreas de concesión (cobertura nacional entre empresas),Empresa; cantón/tarifa cuando hay extractos,city_or_municipality,Según empresa/informe,Anual / periódica,Informes / solicitudes / open data parcial,Partial Open,Varía,No,https://aresep.go.cr/datos-abiertos/,https://www.grupoice.com/,Capa de actividad eléctrica local — crítica para inventarios PPCN cantonales.,No hay estándar nacional de publicación cantonal abierta; a menudo se gestiona caso a caso.,Medium,Utility
Residential buildings,CRI-018,CRI-018-I.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Grillas y productos urbanos modelados de GEI para contraste,I.1,Global incluyendo Costa Rica,0.1° / productos ciudad 1 km,modeled_grid,1970–2024,Periódica,NetCDF/CSV,Open,Como indique JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,Producto modelado internacional para gap-fill/contraste vs INGEI/PPCN.,Preferir fuentes oficiales costarricenses cuando existan.,High,International modeled
Residential buildings,CRI-024,CRI-024-I.1,Datos abiertos nacionales / municipalidades (datosabiertos.go.cr y portales cantonales),Gobierno de Costa Rica / municipalidades,Activity,"Datasets abiertos heterogéneos (residuos, movilidad, energía) a nivel nacional/cantonal",I.1,Costa Rica (cobertura incompleta),Nacional / cantón,city_or_municipality,Según dataset,Irregular,CSV / CKAN,Partial Open,Datos abiertos CR,Partial,https://www.datosabiertos.go.cr/,https://www.datosabiertos.go.cr/,Portales de datos abiertos con capas locales útiles pero no estandarizadas para GPC.,Calidad y temas muy variables; no hay catálogo GPC único.,Medium,Open government
