indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Age Distribution,PHL-A001,PHL-A001-CCRA-001,"PSA Census of Population and Housing 2020 — barangay population, age/sex, housing & WASH",Philippine Statistics Authority (PSA),Hybrid,"Population density, age distribution, water/sanitation/waste housing fields for E/V",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Philippines,Barangay (ADM4) / city-municipality (ADM3) — HDX & OpenSTAT,neighborhood_or_small_area,present,2020 Census,Census cycle,CSV / OpenSTAT / HDX,Open (aggregates),See PSA/HDX,Partial (OpenSTAT),https://data.humdata.org/group/phl,https://openstat.psa.gov.ph/,"2020 CPH tables include barangay age/sex population and city/municipality water, toilet, and garbage-disposal indicators — unusually strong city CCRA E/V backbone.",Some housing themes published at ADM3 not ADM4; join carefully to COD-AB 10-digit pcodes.,High,Primary official
Age Distribution,PHL-A004,PHL-A004-CCRA-001,"WorldPop constrained population & age-sex (PHL, ~100 m)",WorldPop / University of Southampton,Exposure,Gridded population density and age structures,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Philippines,~100 m,modeled_grid,present;2030,2015–2030 grids,Product releases,GeoTIFF,Open,CC BY 4.0 typical,Yes,https://hub.worldpop.org/,https://data.humdata.org/group/phl,Dasymetric grids complementary to barangay census totals for continuous E surfaces.,Prefer census barangay for official counts; WorldPop for raster CCRA grids.,High,International modeled
Age Distribution,PHL-A033,PHL-A033-CCRA-001,HeiGIT / HDX risk assessment style composites (if published) + COD population joins,Humanitarian partners / HDX,Hybrid,"ADM composites for demographics, facilities, flood exposure screening",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Philippines,Admin 2/3 typical,state_or_province,present,Pipeline vintages,As published,CSV / geodata,Open on HDX where available,See HDX,Yes,https://data.humdata.org/group/phl,https://data.humdata.org/group/phl,HDX Philippines group hosts census joins and risk-relevant layers usable for coarse screening.,Prefer barangay census + NOAH for city products.,Medium,Research/NGO
Age Distribution,PHL-A039,PHL-A039-CCRA-001,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),Hybrid,R=(H×E×V)^(1/3) heat risk,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Pipeline-ready for PHL cities,~250 m,modeled_grid,present,Static composite,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/heat_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF heat risk screening with PSA/WorldPop E/V.,Season + local E/V config.,High,OEF derived screening
Age Distribution,PHL-A042,PHL-A042-CCRA-001,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,Vulnerability,Shared V score for risk screening,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,City AOI (PHL → census age + poverty/WASH),Barangay / city polygons burned to H grid,neighborhood_or_small_area,present,Aligned to socioecon source,Per city run,COG / GPKG,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF shared V — map to PSA age + poverty + housing/WASH.,Composition site-specific.,High,OEF derived screening
Agricultural GDP share,PHL-A023,PHL-A023-CCRA-002,PSA / DA agriculture & fisheries statistics (OpenSTAT),PSA / Department of Agriculture,Exposure,"Agricultural land, production, establishments for food security",CCRA-002,Food Security,Droughts; Floods,Exposure,Philippines,Region / province (some municipal),state_or_province,present,Annual surveys,Annual/quarterly,OpenSTAT tables,Open,See PSA,Partial,https://openstat.psa.gov.ph/,https://www.da.gov.ph/,"Official crops, livestock, fisheries and related agricultural statistics.",Irrigation dependence often needs NIA/DA spatial layers beyond OpenSTAT tables.,High,Primary official
Agricultural GDP share,PHL-A025,PHL-A025-CCRA-002,PSA National Accounts — agriculture & industry GDP shares,Philippine Statistics Authority,Vulnerability,Agricultural and industrial GDP share,CCRA-002,Food Security,Droughts; Floods,Exposure,Philippines,National / regional,national,present,Annual/quarterly accounts,Quarterly/annual,OpenSTAT / releases,Open,See PSA,Partial,https://openstat.psa.gov.ph/,https://psa.gov.ph/,Official sectoral GDP for economic dependence indicators.,Needs downscaling for city CCRA.,High,Primary official
Agricultural establishment density,PHL-A023,PHL-A023-CCRA-003,PSA / DA agriculture & fisheries statistics (OpenSTAT),PSA / Department of Agriculture,Exposure,"Agricultural land, production, establishments for food security",CCRA-003,Food Security,Droughts; Floods,Exposure,Philippines,Region / province (some municipal),state_or_province,present,Annual surveys,Annual/quarterly,OpenSTAT tables,Open,See PSA,Partial,https://openstat.psa.gov.ph/,https://www.da.gov.ph/,"Official crops, livestock, fisheries and related agricultural statistics.",Irrigation dependence often needs NIA/DA spatial layers beyond OpenSTAT tables.,High,Primary official
Agricultural land area,PHL-A020,PHL-A020-CCRA-004,ESA WorldCover / Dynamic World + NAMRIA land cover,ESA / Google+WRI / NAMRIA,Hybrid,Natural vegetation and agricultural land,CCRA-004,Food Security,Droughts; Floods,Exposure,Philippines,10 m EO; NAMRIA national LC products,modeled_grid,present,Annual EO / NAMRIA vintages,Product cadence,GeoTIFF / geoportal,Open EO; NAMRIA via geoportal (terms vary),Open / gov,Yes (EO),https://esa-worldcover.org/,https://www.geoportal.gov.ph/,Land-cover rasters for vegetation/agriculture; Philippine Geoportal hosts national layers.,NAMRIA access/terms may require registration.,High,International modeled
Agricultural land area,PHL-A023,PHL-A023-CCRA-004,PSA / DA agriculture & fisheries statistics (OpenSTAT),PSA / Department of Agriculture,Exposure,"Agricultural land, production, establishments for food security",CCRA-004,Food Security,Droughts; Floods,Exposure,Philippines,Region / province (some municipal),state_or_province,present,Annual surveys,Annual/quarterly,OpenSTAT tables,Open,See PSA,Partial,https://openstat.psa.gov.ph/,https://www.da.gov.ph/,"Official crops, livestock, fisheries and related agricultural statistics.",Irrigation dependence often needs NIA/DA spatial layers beyond OpenSTAT tables.,High,Primary official
Agricultural land area,PHL-A024,PHL-A024-CCRA-004,NIA / DA irrigation service areas + FAO WaPOR,National Irrigation Administration / FAO,Vulnerability,Dependence on large-scale irrigation,CCRA-004,Food Security,Droughts; Floods,Exposure,Philippines,Irrigation system / EO raster,facility_or_asset,present,NIA inventories + WaPOR seasons,Periodic,Maps / GeoTIFF / reports,Partially open,See NIA/FAO,WaPOR yes,https://wapor.apps.fao.org/,https://www.nia.gov.ph/,Irrigation system and agricultural water proxies for drought sensitivity.,Complete national open GIS of all NIA systems not always bulk-downloadable.,Medium,Primary official
Areas of global conservation value,PHL-A021,PHL-A021-CCRA-005,World Database on Protected Areas (WDPA) + NIPAS sites,UNEP-WCMC / DENR-BMB,Exposure,Protected areas,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Philippines,PA polygons,facility_or_asset,present,Continuous / NIPAS listings,Periodic,SHP / tables,Open (WDPA); national lists,WDPA / gov,Yes (WDPA),https://www.protectedplanet.net/,https://bmb.gov.ph/,Protected areas including NIPAS; WDPA as open GIS backbone.,National GIS completeness vs WDPA may differ.,High,International modeled
Areas of global conservation value,PHL-A022,PHL-A022-CCRA-005,Biodiversity Intactness Index (BII) + KBAs,NHM / BirdLife KBA Partnership,Vulnerability,BII and areas of global conservation value,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Philippines,Gridded BII / KBA polygons,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA for biodiversity vulnerability/conservation value.,Global models — complement with DENR biodiversity assessments.,Medium,Research/NGO
Biodiversity Intactness Index (BII),PHL-A022,PHL-A022-CCRA-006,Biodiversity Intactness Index (BII) + KBAs,NHM / BirdLife KBA Partnership,Vulnerability,BII and areas of global conservation value,CCRA-006,Biodiversity,Droughts; Heatwaves,Vulnerability,Philippines,Gridded BII / KBA polygons,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA for biodiversity vulnerability/conservation value.,Global models — complement with DENR biodiversity assessments.,Medium,Research/NGO
Confirmed disease cases,PHL-A006,PHL-A006-CCRA-007,"NDHS / DHS Philippines — health, WASH, nutrition",PSA / The DHS Program,Vulnerability,"Health & basic services, WASH, disease/nutrition prevalence proxies",CCRA-007,Public Health,Diseases,Vulnerability,Philippines,Region / survey domain (cluster GPS displaced),state_or_province,present,NDHS rounds,Survey rounds,Reports / API / restricted microdata,Open aggregates; microdata registration,DHS/PSA terms,Yes (DHS API),https://dhsprogram.com/countries/Country-Main.cfm?ctry_id=34,https://psa.gov.ph/,National Demographic and Health Survey indicators for health/WASH vulnerability.,"Not continuous city surfaces; disease = survey prevalence, not DOH case GIS.",High,Secondary official
Dependence on large-scale irrigation,PHL-A023,PHL-A023-CCRA-008,PSA / DA agriculture & fisheries statistics (OpenSTAT),PSA / Department of Agriculture,Exposure,"Agricultural land, production, establishments for food security",CCRA-008,Food Security,Droughts,Vulnerability,Philippines,Region / province (some municipal),state_or_province,present,Annual surveys,Annual/quarterly,OpenSTAT tables,Open,See PSA,Partial,https://openstat.psa.gov.ph/,https://www.da.gov.ph/,"Official crops, livestock, fisheries and related agricultural statistics.",Irrigation dependence often needs NIA/DA spatial layers beyond OpenSTAT tables.,High,Primary official
Dependence on large-scale irrigation,PHL-A024,PHL-A024-CCRA-008,NIA / DA irrigation service areas + FAO WaPOR,National Irrigation Administration / FAO,Vulnerability,Dependence on large-scale irrigation,CCRA-008,Food Security,Droughts,Vulnerability,Philippines,Irrigation system / EO raster,facility_or_asset,present,NIA inventories + WaPOR seasons,Periodic,Maps / GeoTIFF / reports,Partially open,See NIA/FAO,WaPOR yes,https://wapor.apps.fao.org/,https://www.nia.gov.ph/,Irrigation system and agricultural water proxies for drought sensitivity.,Complete national open GIS of all NIA systems not always bulk-downloadable.,Medium,Primary official
Electricity consumption,PHL-A030,PHL-A030-CCRA-009,DOE Power Statistics / Meralco & electric cooperative sales; HECS,DOE / distribution utilities / PSA HECS,Vulnerability,Electricity consumption and energy poverty proxies,CCRA-009,Energy Security,Droughts; Heatwaves,Vulnerability,Philippines (regional/franchise),Region / utility franchise (Meralco Metro strong),other_or_mixed,present,Annual DOE stats + HECS rounds,Annual,PDF/tables / survey,Partially open,See DOE/PSA,No,https://www.doe.gov.ph/,https://openstat.psa.gov.ph/,Stronger electricity statistics than many peers (regional/sectoral DOE; Meralco franchise). HECS for energy poverty.,Systematic open barangay customer-class extracts still limited.,High,Primary official
Energy poverty,PHL-A002,PHL-A002-CCRA-010,PSA poverty statistics (FIES / SAE) + OpenSTAT poverty,Philippine Statistics Authority (PSA),Vulnerability,Income / poverty incidence for vulnerability,CCRA-010,Energy Security,Droughts; Heatwaves,Vulnerability,Philippines,Province / city-municipality (SAE where published),city_or_municipality,present,FIES rounds + poverty releases,Survey / annual poverty releases,OpenSTAT / HDX / reports,Open aggregates,See PSA,Partial,https://openstat.psa.gov.ph/,https://psa.gov.ph/poverty-press-releases/references,Official poverty incidence and related living-condition statistics; SAE products support finer targeting.,Finest SAE grain varies by release; energy poverty needs HECS/FIES proxies.,High,Primary official
Energy poverty,PHL-A030,PHL-A030-CCRA-010,DOE Power Statistics / Meralco & electric cooperative sales; HECS,DOE / distribution utilities / PSA HECS,Vulnerability,Electricity consumption and energy poverty proxies,CCRA-010,Energy Security,Droughts; Heatwaves,Vulnerability,Philippines (regional/franchise),Region / utility franchise (Meralco Metro strong),other_or_mixed,present,Annual DOE stats + HECS rounds,Annual,PDF/tables / survey,Partially open,See DOE/PSA,No,https://www.doe.gov.ph/,https://openstat.psa.gov.ph/,Stronger electricity statistics than many peers (regional/sectoral DOE; Meralco franchise). HECS for energy poverty.,Systematic open barangay customer-class extracts still limited.,High,Primary official
Flood Threat Index,PHL-A007,PHL-A007-CCRA-011,Project NOAH — Flood hazard maps (5 / 25 / 100-year return periods),DOST / UP Resilience Institute (Project NOAH),Hazard,Official/open national flood threat maps (depth/velocity hazard classes),CCRA-011,Hydrogeological Disasters,Floods,Hazard,Philippines (nationwide; LiDAR detail in major basins),High-resolution hazard polygons / LiDAR-based where available,modeled_grid,present,NOAH assessment vintage (LiDAR era),Project releases / portal refreshes,SHP / PMTiles / portal download,Open (ODC-ODbL),ODC-ODbL,Portal / mirrors,https://huggingface.co/datasets/bettergovph/project-noah-hazard-maps,https://www.spaceclimateobservatory.org/noah,"Nationwide flood inundation hazard for 5-, 25-, and 100-year rainfall return periods — strongest national Flood Threat product in this country set.",Static scenario maps; still pair with OEF flood_hazard for multi-source ensemble screening if desired.,High,Primary official
Flood Threat Index,PHL-A010,PHL-A010-CCRA-011,JRC Global River Flood Hazard Maps v2.1,European Commission JRC,Hazard,Global fluvial flood hazard alternative / OEF flood_hazard input,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global (incl. Philippines),Raster return periods,modeled_grid,present,Model v2.1,Product versions,GeoTIFF,Open,See JRC,Yes,https://data.jrc.ec.europa.eu/,https://data.jrc.ec.europa.eu/collection/id-0054,Global fluvial flood maps (OEF input). Prefer NOAH for PHL city screening when available.,Less locally tuned than NOAH LiDAR floods.,High,International modeled
Flood Threat Index,PHL-A011,PHL-A011-CCRA-011,WRI Aqueduct Flood Hazard Maps,World Resources Institute,Hazard,Alternate global flood hazard,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global (incl. Philippines),Raster,modeled_grid,present,Aqueduct flood v2,Product versions,GeoTIFF,Open,See WRI,Yes,https://www.wri.org/data/aqueduct-floods,https://www.wri.org/aqueduct,Global flood hazard (catalog wri_aqueduct_flood).,Prefer NOAH locally.,Medium,International modeled
Flood Threat Index,PHL-A014,PHL-A014-CCRA-011,"CHIRPS extreme precipitation indices (Rx5day, CDD drivers)",UCSB Climate Hazards Center / CHIRPS,Hazard,"Rx5day, CDD, total precip open rasters",CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global land (incl. Philippines),~0.05°,modeled_grid,present,1981–present,Near real-time,GeoTIFF / NetCDF,Open,Open,Yes,https://www.chc.ucsb.edu/data/chirps,https://www.chc.ucsb.edu/data/chirps,Open precip extremes for OEF FRI/landslide inputs and PAGASA cross-check.,Prefer PAGASA/NOAH for local flood hazard; CHIRPS for continuous open time series.,High,International modeled
Flood Threat Index,PHL-A018,PHL-A018-CCRA-011,Copernicus DEM GLO-30 (+ NAMRIA IfSAR/LiDAR via NOAH lineage),ESA Copernicus / NAMRIA (via NOAH inputs),Hazard,Elevation/slope/HAND drivers,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Philippines,30 m global; 1–5 m where LiDAR/IfSAR used in NOAH,modeled_grid,n/a,DEM mosaics,Product versions,GeoTIFF,Open (Copernicus); NAMRIA detail via NOAH products,Copernicus / gov,Yes (Copernicus),https://spacedata.copernicus.eu/,https://www.namria.gov.ph/,DEM foundation; NOAH already embeds high-res NAMRIA elevation in hazard maps.,Raw NAMRIA LiDAR may be restricted; use NOAH outputs for hazard.,High,International modeled
Flood Threat Index,PHL-A034,PHL-A034-CCRA-011,OEF CHIRPS–COPDEM Flood Risk Index (FRI) — global/present+SSP,Open Earth Foundation,Hazard,FRI present+SSP flood-threat input family,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global / city AOIs,Model raster,modeled_grid,present;2030;2050,2024 + SSP slices,Internal releases,COG,Internal/open per OEF,See catalog,Via catalog,https://github.com/Open-Earth-Foundation/geospatial-data,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/catalog/datasets.yaml,OEF FRI — complementary to NOAH; useful for future SSP slices NOAH scenarios may lack.,Prefer NOAH for present-day PHL flood hazard.,Medium,OEF derived screening
Flood Threat Index,PHL-A035,PHL-A035-CCRA-011,OEF Flood Hazard Score (city screening ensemble),Open Earth Foundation (models/flood_hazard),Hazard,City flood hazard ensemble (0–1),CCRA-011,Hydrogeological Disasters,Floods,Hazard,"Pipeline-ready for PHL cities (Quezon City, Manila, Makati, Cebu, Davao, Taguig, …)",~250 m,modeled_grid,present,Static global-input ensemble,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/flood_hazard,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF flood_hazard — runnable for PHL AOIs; calibrate/compare against NOAH.,Not published for PHL cities yet. NOAH usually preferred as primary local H.,High,OEF derived screening
Flood Threat Index,PHL-A038,PHL-A038-CCRA-011,OEF Flood Risk Score H×E×V (city screening),Open Earth Foundation (flood_risk),Hybrid,R=(H×E×V)^(1/3) flood risk — can use NOAH H + PSA E/V,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Pipeline-ready for PHL cities,~250 m,modeled_grid,present,Static composite,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/flood_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF flood risk composite; PHL can feed barangay PSA E/V and optionally NOAH-derived H.,Integration of NOAH H into OEF risk pipeline may need adapter.,High,OEF derived screening
Flood Threat Index,PHL-A043,PHL-A043-CCRA-011,OEF Flood / Heat / Landslide mechanism-type layers (NbS screening),Open Earth Foundation (nbs_*_mechanism_type),Hazard,Dominant mechanism classes; drainage_constrained proxies stormwater gap,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Pipeline-ready for PHL cities,~250 m / ~90 m,modeled_grid,present,Static classification,Per NbS run,Categorical COG,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/nbs_screening,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,OEF mechanism-type layers. Drainage_constrained remains proxy until LGU drainage GIS opens.,Screening only.,Medium,OEF derived screening
Food production and marketing,PHL-A023,PHL-A023-CCRA-012,PSA / DA agriculture & fisheries statistics (OpenSTAT),PSA / Department of Agriculture,Exposure,"Agricultural land, production, establishments for food security",CCRA-012,Food Security,Droughts; Floods,Vulnerability,Philippines,Region / province (some municipal),state_or_province,present,Annual surveys,Annual/quarterly,OpenSTAT tables,Open,See PSA,Partial,https://openstat.psa.gov.ph/,https://www.da.gov.ph/,"Official crops, livestock, fisheries and related agricultural statistics.",Irrigation dependence often needs NIA/DA spatial layers beyond OpenSTAT tables.,High,Primary official
Forest cover,PHL-A019,PHL-A019-CCRA-013,Hansen Global Forest Change (treecover / loss),UMD / GLAD,Hybrid,Forest cover and loss,CCRA-013,Infrastructures,Erosions; Heatwave,Vulnerability,Global (incl. Philippines),~30 m,modeled_grid,present,2000 + annual loss,Annual,GeoTIFF,Open,CC BY 4.0,Yes,https://glad.earthengine.app/view/global-forest-change,https://storage.googleapis.com/earthenginepartners-hansen/GFC-2023-v1.11/download.html,Standard forest cover/loss (OEF hansen_*).,Cross-check DENR-FMB / NAMRIA land cover where available.,High,International modeled
Forest cover,PHL-A020,PHL-A020-CCRA-013,ESA WorldCover / Dynamic World + NAMRIA land cover,ESA / Google+WRI / NAMRIA,Hybrid,Natural vegetation and agricultural land,CCRA-013,Infrastructures,Erosions; Heatwave,Vulnerability,Philippines,10 m EO; NAMRIA national LC products,modeled_grid,present,Annual EO / NAMRIA vintages,Product cadence,GeoTIFF / geoportal,Open EO; NAMRIA via geoportal (terms vary),Open / gov,Yes (EO),https://esa-worldcover.org/,https://www.geoportal.gov.ph/,Land-cover rasters for vegetation/agriculture; Philippine Geoportal hosts national layers.,NAMRIA access/terms may require registration.,High,International modeled
Forest loss,PHL-A019,PHL-A019-CCRA-014,Hansen Global Forest Change (treecover / loss),UMD / GLAD,Hybrid,Forest cover and loss,CCRA-014,Public Health,Diseases,Exposure,Global (incl. Philippines),~30 m,modeled_grid,present,2000 + annual loss,Annual,GeoTIFF,Open,CC BY 4.0,Yes,https://glad.earthengine.app/view/global-forest-change,https://storage.googleapis.com/earthenginepartners-hansen/GFC-2023-v1.11/download.html,Standard forest cover/loss (OEF hansen_*).,Cross-check DENR-FMB / NAMRIA land cover where available.,High,International modeled
Health and basic services access,PHL-A001,PHL-A001-CCRA-015,"PSA Census of Population and Housing 2020 — barangay population, age/sex, housing & WASH",Philippine Statistics Authority (PSA),Hybrid,"Population density, age distribution, water/sanitation/waste housing fields for E/V",CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Philippines,Barangay (ADM4) / city-municipality (ADM3) — HDX & OpenSTAT,neighborhood_or_small_area,present,2020 Census,Census cycle,CSV / OpenSTAT / HDX,Open (aggregates),See PSA/HDX,Partial (OpenSTAT),https://data.humdata.org/group/phl,https://openstat.psa.gov.ph/,"2020 CPH tables include barangay age/sex population and city/municipality water, toilet, and garbage-disposal indicators — unusually strong city CCRA E/V backbone.",Some housing themes published at ADM3 not ADM4; join carefully to COD-AB 10-digit pcodes.,High,Primary official
Health and basic services access,PHL-A006,PHL-A006-CCRA-015,"NDHS / DHS Philippines — health, WASH, nutrition",PSA / The DHS Program,Vulnerability,"Health & basic services, WASH, disease/nutrition prevalence proxies",CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Philippines,Region / survey domain (cluster GPS displaced),state_or_province,present,NDHS rounds,Survey rounds,Reports / API / restricted microdata,Open aggregates; microdata registration,DHS/PSA terms,Yes (DHS API),https://dhsprogram.com/countries/Country-Main.cfm?ctry_id=34,https://psa.gov.ph/,National Demographic and Health Survey indicators for health/WASH vulnerability.,"Not continuous city surfaces; disease = survey prevalence, not DOH case GIS.",High,Secondary official
Health and basic services access,PHL-A027,PHL-A027-CCRA-015,DOH National Health Facility Registry / healthsites.io,Department of Health / healthsites.io,Vulnerability,Health facility density,CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Philippines,Facility points,facility_or_asset,present,Ongoing registry,Continuous,Portal / GeoJSON mirrors,Partially open,See DOH/healthsites,Varies,https://nhfr.doh.gov.ph/,https://healthsites.io/,Health facility locations for accessibility/density vulnerability.,NHFR access/terms; healthsites as open complement.,Medium,Primary official
Health and basic services access,PHL-A033,PHL-A033-CCRA-015,HeiGIT / HDX risk assessment style composites (if published) + COD population joins,Humanitarian partners / HDX,Hybrid,"ADM composites for demographics, facilities, flood exposure screening",CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Philippines,Admin 2/3 typical,state_or_province,present,Pipeline vintages,As published,CSV / geodata,Open on HDX where available,See HDX,Yes,https://data.humdata.org/group/phl,https://data.humdata.org/group/phl,HDX Philippines group hosts census joins and risk-relevant layers usable for coarse screening.,Prefer barangay census + NOAH for city products.,Medium,Research/NGO
Health facility density,PHL-A026,PHL-A026-CCRA-016,"OpenStreetMap — roads, rail, ports, health, buildings",OpenStreetMap contributors,Exposure,Road/rail/port density; health POIs; buildings for hazard-prone households,CCRA-016,Public Health,Diseases; Heatwaves,Vulnerability,Philippines,Vector features,facility_or_asset,present,Continuous,Continuous,PBF / GeoJSON,Open,ODbL,Yes,https://download.geofabrik.de/asia/philippines.html,https://wiki.openstreetmap.org/wiki/Philippines,Primary open infrastructure and building layer for exposure overlays with NOAH hazards.,Health POI completeness vs DOH NHFR varies.,Medium,Research/NGO
Health facility density,PHL-A027,PHL-A027-CCRA-016,DOH National Health Facility Registry / healthsites.io,Department of Health / healthsites.io,Vulnerability,Health facility density,CCRA-016,Public Health,Diseases; Heatwaves,Vulnerability,Philippines,Facility points,facility_or_asset,present,Ongoing registry,Continuous,Portal / GeoJSON mirrors,Partially open,See DOH/healthsites,Varies,https://nhfr.doh.gov.ph/,https://healthsites.io/,Health facility locations for accessibility/density vulnerability.,NHFR access/terms; healthsites as open complement.,Medium,Primary official
Health facility density,PHL-A033,PHL-A033-CCRA-016,HeiGIT / HDX risk assessment style composites (if published) + COD population joins,Humanitarian partners / HDX,Hybrid,"ADM composites for demographics, facilities, flood exposure screening",CCRA-016,Public Health,Diseases; Heatwaves,Vulnerability,Philippines,Admin 2/3 typical,state_or_province,present,Pipeline vintages,As published,CSV / geodata,Open on HDX where available,See HDX,Yes,https://data.humdata.org/group/phl,https://data.humdata.org/group/phl,HDX Philippines group hosts census joins and risk-relevant layers usable for coarse screening.,Prefer barangay census + NOAH for city products.,Medium,Research/NGO
Households in hazard-prone areas,PHL-A003,PHL-A003-CCRA-017,Philippines COD-AB — subnational administrative boundaries (ADM0–4),OCHA / HDX (PSA PSGC lineage),Boundary,Admin boundaries including barangay for city AOI and dasymetrics,CCRA-017,Hydrogeological Disasters,Floods; Landslides,Exposure,Philippines,ADM1–4 (barangay),neighborhood_or_small_area,n/a,COD maintained (10-digit pcode),As COD updates,SHP / GeoJSON,Open,CC BY (HDX typical),Yes (HDX),https://data.humdata.org/dataset/cod-ab-phl,https://data.humdata.org/dataset/cod-ab-phl,COD administrative boundaries aligned to PSA PSGC — essential join key for census tables.,BARMM/boundary changes require matching census vintage.,High,Secondary official
Households in hazard-prone areas,PHL-A004,PHL-A004-CCRA-017,"WorldPop constrained population & age-sex (PHL, ~100 m)",WorldPop / University of Southampton,Exposure,Gridded population density and age structures,CCRA-017,Hydrogeological Disasters,Floods; Landslides,Exposure,Philippines,~100 m,modeled_grid,present;2030,2015–2030 grids,Product releases,GeoTIFF,Open,CC BY 4.0 typical,Yes,https://hub.worldpop.org/,https://data.humdata.org/group/phl,Dasymetric grids complementary to barangay census totals for continuous E surfaces.,Prefer census barangay for official counts; WorldPop for raster CCRA grids.,High,International modeled
