indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Age Distribution,ETH-A001,ETH-A001-CCRA-001,ESS / CSA population & housing census + projections (via IMIS / StatBank / HDX COD-PS),Ethiopian Statistical Service (ESS; formerly CSA),Hybrid,"Population counts, age/sex structure, housing & basic services proxies for E/V",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Ethiopia,Woreda / town (ADM3) for COD-PS projections; census microgeography varies,city_or_municipality,present,2007 census + CSA/ESS projections (e.g. 2021/2022 COD-PS),Projection & survey releases,Tables / CSV (HDX); IMIS interactive,Open (aggregates); microdata restricted,See ESS/HDX,Partial (IMIS/StatBank),https://data.humdata.org/dataset/cod-ps-eth,http://imisethiopia.gov.et/,Official population statistics and projections; HDX COD-PS provides ADM0–3 sex/age disaggregated 2022 estimates based on CSA projections.,Last full census 2007; finer kebele/city-block extracts uneven. Urban service indicators often from surveys (DHS/HCES) not census grids.,High,Primary official
Age Distribution,ETH-A005,ETH-A005-CCRA-001,"WorldPop constrained population & age-sex (ETH, ~100 m)",WorldPop / University of Southampton (via HDX),Exposure,Gridded population density and age structures,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Ethiopia,~100 m raster,modeled_grid,present;2030,2015–2030 grids (R2025A family),Product releases,GeoTIFF,Open,CC BY 4.0 typical,Yes,https://data.humdata.org/group/eth,https://hub.worldpop.org/,Dasymetric population grids for city AOI density and sensitive-age vulnerability.,Modeled; validate against COD-PS woreda totals.,High,International modeled
Age Distribution,ETH-A007,ETH-A007-CCRA-001,"Ethiopia — Risk Assessment Indicators (HeiGIT GAIA / HDX, ADM2)",HeiGIT (via HDX),Hybrid,"ADM2 demographics, vulnerability, facilities, flood exposure",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Ethiopia,Admin level 2,state_or_province,present,GAIA pipeline build,Publisher refresh,CSV,Open,See HDX,Yes (HDX),https://data.humdata.org/dataset/ethiopia---risk-assessment-indicators,https://data.humdata.org/dataset/ethiopia---risk-assessment-indicators,Pre-aggregated risk indicators including flood exposure at 30 cm depth for multiple return periods.,"Zone-level screening, not intra-city hotspots.",Medium,Research/NGO
Age Distribution,ETH-A037,ETH-A037-CCRA-001,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),Hybrid,R=(H×E×V)^(1/3) heat risk composite,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Pipeline-ready for ETH cities,~250 m,modeled_grid,present,Static composite,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/heat_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF heat risk screening.,Season + local E/V configuration.,High,OEF derived screening
Age Distribution,ETH-A040,ETH-A040-CCRA-001,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation (CCRA V layer),Vulnerability,Shared vulnerability score for risk screening,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,City AOI (ETH → WorldPop age + DHS/HCES poverty proxies),Neighborhood/woreda polygons burned to hazard grid,neighborhood_or_small_area,present,Aligned to socioecon source,Per city run,COG / GPKG,Internal when published,CC BY 4.0 (product),When published,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF shared vulnerability score; for ETH map to age + poverty/WASH proxies.,Composition is site-specific.,High,OEF derived screening
Agricultural GDP share,ETH-A023,ETH-A023-CCRA-002,"ESS Agricultural Sample Survey (AgSS) — crops, livestock, land use",Ethiopian Statistical Service (ESS),Exposure,"Agricultural land, production, holdings — food security exposure/vulnerability",CCRA-002,Food Security,Droughts; Floods,Exposure,Ethiopia,Region / zone (sometimes woreda tables in reports),state_or_province,present,Annual AgSS rounds,Annual,PDF/tables; some StatBank,Open reports; microdata restricted,See ESS,Partial,https://www.statsethiopia.gov.et/,https://www.statsethiopia.gov.et/,Core official agriculture statistics (strong AFOLU parallel to GPC ETH research).,City-scale farm establishment density weak; irrigated-area share not always spatial.,High,Primary official
Agricultural GDP share,ETH-A025,ETH-A025-CCRA-002,"National Accounts / MoF — sectoral GDP (agriculture, industry)",Ministry of Finance / ESS National Accounts,Vulnerability,Agricultural and industrial GDP share,CCRA-002,Food Security,Droughts; Floods,Exposure,Ethiopia,National (sometimes regional),national,present,Annual accounts,Annual,PDF/tables,Open reports,Not identified,No,https://www.statsethiopia.gov.et/,https://www.mofed.gov.et/,Official sectoral GDP shares for economic dependence indicators.,Needs downscaling for city CCRA.,High,Primary official
Agricultural establishment density,ETH-A023,ETH-A023-CCRA-003,"ESS Agricultural Sample Survey (AgSS) — crops, livestock, land use",Ethiopian Statistical Service (ESS),Exposure,"Agricultural land, production, holdings — food security exposure/vulnerability",CCRA-003,Food Security,Droughts; Floods,Exposure,Ethiopia,Region / zone (sometimes woreda tables in reports),state_or_province,present,Annual AgSS rounds,Annual,PDF/tables; some StatBank,Open reports; microdata restricted,See ESS,Partial,https://www.statsethiopia.gov.et/,https://www.statsethiopia.gov.et/,Core official agriculture statistics (strong AFOLU parallel to GPC ETH research).,City-scale farm establishment density weak; irrigated-area share not always spatial.,High,Primary official
Agricultural land area,ETH-A019,ETH-A019-CCRA-004,ESA WorldCover / Dynamic World land cover,ESA / Google+WRI,Hybrid,Natural vegetation and agricultural land proxies,CCRA-004,Food Security,Droughts; Floods,Exposure,Global (incl. Ethiopia),10 m,modeled_grid,present,Annual / NRT,Product cadence,GeoTIFF / GEE,Open,Open,Yes,https://esa-worldcover.org/,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1,Land-cover rasters for vegetation and cropland exposure.,Class confusion in mosaic highland systems.,High,International modeled
Agricultural land area,ETH-A023,ETH-A023-CCRA-004,"ESS Agricultural Sample Survey (AgSS) — crops, livestock, land use",Ethiopian Statistical Service (ESS),Exposure,"Agricultural land, production, holdings — food security exposure/vulnerability",CCRA-004,Food Security,Droughts; Floods,Exposure,Ethiopia,Region / zone (sometimes woreda tables in reports),state_or_province,present,Annual AgSS rounds,Annual,PDF/tables; some StatBank,Open reports; microdata restricted,See ESS,Partial,https://www.statsethiopia.gov.et/,https://www.statsethiopia.gov.et/,Core official agriculture statistics (strong AFOLU parallel to GPC ETH research).,City-scale farm establishment density weak; irrigated-area share not always spatial.,High,Primary official
Agricultural land area,ETH-A024,ETH-A024-CCRA-004,FAO / WaPOR / AQUASTAT — irrigated area & agricultural water,FAO,Vulnerability,Irrigation dependence and agricultural water-use proxies,CCRA-004,Food Security,Droughts; Floods,Exposure,Ethiopia / basins,Raster / national tables,modeled_grid,present,WaPOR seasons; AQUASTAT series,Product cadence,GeoTIFF / tables,Open,See FAO,Yes,https://wapor.apps.fao.org/,https://www.fao.org/aquastat/,Remote-sensing and statistical irrigation/water products for drought sensitivity of agriculture.,Not a farm-registry census of large-scale irrigation schemes.,Medium,International modeled
Areas of global conservation value,ETH-A020,ETH-A020-CCRA-005,World Database on Protected Areas (WDPA),UNEP-WCMC / IUCN,Exposure,Protected areas polygons,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Global (incl. Ethiopia),PA polygons,facility_or_asset,present,Continuous,Monthly-ish,SHP,Open (registration),WDPA terms,Yes,https://www.protectedplanet.net/,https://www.protectedplanet.net/en/thematic-areas/wdpa,Global protected areas including Ethiopian national parks and reserves.,EWCA national GIS may be richer but less openly bulk-published.,High,International modeled
Areas of global conservation value,ETH-A022,ETH-A022-CCRA-005,Key Biodiversity Areas / conservation-value sites,BirdLife / KBA Partnership,Vulnerability,Areas of global conservation value,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Global (incl. Ethiopia),Site polygons,facility_or_asset,present,KBA updates,Periodic,SHP / tables,Open,See KBA,Yes,https://www.keybiodiversityareas.org/,https://www.keybiodiversityareas.org/,KBA sites for conservation-value sensitivity.,Complement with national priority ecosystems lists.,Medium,Research/NGO
Biodiversity Intactness Index (BII),ETH-A021,ETH-A021-CCRA-006,Biodiversity Intactness Index (BII),Natural History Museum / GEO BON community,Vulnerability,Biodiversity intactness,CCRA-006,Biodiversity,Droughts; Heatwaves,Vulnerability,Global (incl. Ethiopia),Gridded,modeled_grid,present,Model epoch,Product versions,GeoTIFF,Open/research,See product,Varies,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,Modeled BII for biodiversity sector vulnerability.,Global ecological model.,Medium,International modeled
