sector_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_gpc_sector,geographic_coverage,geographic_granularity,granularity_class,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Residential buildings,ETH-001,ETH-001-I.1,First Biennial Update Report (BUR1) — National GHG Inventory 2018 & 2020,Federal Democratic Republic of Ethiopia / UNFCCC,Emissions,"National GHG emissions by IPCC sector (Energy, IPPU, AFOLU, Waste); activity-data narratives and inventory totals",I.1,Ethiopia (national),National,national,Inventory years 2018 and 2020 (submitted 2024),BUR/NC cycle,PDF,Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/Ethiopia_First%20BUR.pdf,https://unfccc.int/documents/639672,"Official BUR1 with national GHG inventory covering Energy, IPPU, AFOLU and Waste for 2018 and 2020.",National only; not city-boundary; AFOLU dominates totals; underlying microdata not published with report.,High,Primary official
Residential buildings,ETH-002,ETH-002-I.1,Third National Communication (NC3),Ethiopia / UNFCCC,Hybrid,"National circumstances, GHG inventory context, mitigation/adaptation; complementary to BUR1",I.1,Ethiopia,National,national,Submitted June 2024,NC cycle,PDF,Open,Not identified,No,https://unfccc.int/documents/639671,https://unfccc.int/documents/639671,Third National Communication providing inventory and climate-policy context alongside BUR1.,Narrative PDF; city inventories need separate activity data.,High,Primary official
Residential buildings,ETH-003,ETH-003-I.1,Ethiopian Energy Sector Brief 2025 (energy balance & electricity statistics),Ministry of Water and Energy (MoWE),Activity,Energy balance; electricity production by source; consumption by industry/households; installed capacity; losses,I.1,Ethiopia,National; sectoral splits,national,Electricity series ~2018–2023 in brief; energy balance tables,Periodic ministry briefs,PDF,Open,Not identified,No,https://www.mowe.gov.et/sites/default/files/resource/Ethiopian%20Energy%20Sector%20Brief%202025.pdf,https://www.mowe.gov.et/,Official energy-sector brief with national electricity production/consumption by broad consumer class and capacity mix (hydro-dominated).,Not municipal customer-class meter extracts; biomass still dominant in total energy but city electricity detail limited.,High,Primary official
Residential buildings,ETH-004,ETH-004-I.1,EEP Facts in Brief 2024/25,Ethiopian Electric Power (EEP),Activity,Generation output; capacity; bulk sales to EEU/HV industry/rail/exports; per-capita generation,I.1,Ethiopia interconnected system + exports,"National / system; customer category (EEU, HV, mining, rail, export)",national,Ethiopian FY referenced in 2024/25 brief,Annual facts brief,PDF,Open,Not identified,No,https://www.eep.com.et/wp-content/uploads/2025/10/fact-and-bierf-pdf.pdf,https://www.eep.com.et/,Generation and bulk-sale KPIs from the national generation/transmission utility.,Retail city distribution sits with EEU; plant-level fuel inputs sparse in brief; PDF.,High,Primary operator
Residential buildings,ETH-008,ETH-008-I.1,IMIS Ethiopia / ESS StatBank,ESS (+ Redatam/UNFPA partners for IMIS),Activity,Interactive census/survey indicators including selected energy production and socio-economic proxies,I.1,Ethiopia,National to local depending on dataset,national,Multiple survey/census vintages,As surveys loaded,Web query / Excel-PDF export,Open,Not identified,Unknown,http://imisethiopia.gov.et/,https://ess.gov.et/,Integrated statistical query platform and StatBank for official indicators usable as allocation proxies.,UI/legacy stack; indicator coverage uneven; not a full energy meter database.,Medium,Primary official
Residential buildings,ETH-009,ETH-009-I.1,Ethiopia Multi-Tier Framework (MTF) Energy Access Survey,World Bank / ESMAP (energydata.info),Activity,Household electricity and clean-cooking access tiers; fuel stacking; supporting residential energy characterization,I.1,Ethiopia,Survey sample (national/regional design),state_or_province,MTF survey wave (see dataset metadata; portal updated 2024),One-off / infrequent,Microdata / documentation on energydata.info,Open,As stated on energydata.info,Yes (CKAN API),https://energydata.info/dataset?vocab_country_names=ETH,https://energydata.info/,Household energy-access survey beyond binary electrification — useful residential fuel/electricity supporting data.,Not billed kWh by city; sample-based; not annual official utility sales.,High,International survey
Residential buildings,ETH-010,ETH-010-I.1,Ethiopia Socioeconomic Survey / LSMS-ISA (incl. energy & agriculture modules),ESS / World Bank LSMS,Activity,Household expenditure including energy; agriculture; assets — allocation and supporting data,I.1,Ethiopia,National/regional sample; geo-referenced households in microdata,state_or_province,Panel waves (e.g. 2018/19 ESS4),Multi-year waves,Microdata + PDF report,Open (registration may apply),As stated by World Bank Microdata Library,No,https://microdata.worldbank.org/catalog/3823,https://ess.gov.et/download/lsms_ess_16-02-21-1/,Multi-topic household panel with consumption and agriculture modules supporting residential energy and AFOLU proxies.,Not utility meters; city complete census of energy not available.,High,Official survey partnership
Residential buildings,ETH-011,ETH-011-I.1,Addis Ababa GHG Emissions Inventory 2016 (GPC / C40 CIRIS),Addis Ababa / Ethiopia EPA (C40 CAP programme),Emissions,City-wide GPC-compliant GHG inventory by sector and scope for Addis Ababa,I.1,Addis Ababa administrative boundary,City,city_or_municipality,2016 (prior 2012 inventory also exists),Project-based (not confirmed annual open series),PDF,Open,Not identified,No,https://epa.gov.et/images/PDF/Climatechange/2016_Addis_Ababa_GHG_Emssion_Report.pdf,https://epa.gov.et/,Rare public city GPC inventory for Addis Ababa confirming BASIC/BASIC+ style sector coverage for a reference year.,Dated (2016); underlying activity tables incomplete in public PDF; other Ethiopian cities lack equivalent open inventories.,High,City official / C40
Residential buildings,ETH-019,ETH-019-I.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG; grids; city/settlement products for spatial allocation,I.1,Global including Ethiopia,0.1° / 1 km city products,modeled_grid,1970–2024 (latest release),Periodic,NetCDF / CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,Independent gridded emissions for gap-filling Ethiopian city inventories.,Modeled; biomass/AFOLU dominance needs local calibration.,High,International modeled
Residential buildings,ETH-025,ETH-025-I.1,Household Consumption Expenditure Survey (HCES/HICE) series,ESS,Activity,"Household spending on electricity, fuels, charcoal/firewood — residential energy supporting data; Scope 3 consumption proxies",I.1,Ethiopia,National / urban-rural; major urban in design,national,Multi-year series through 2015/16 (later waves status check on ESS),Every ~4–5 years historically,PDF / microdata (varies),Open (reports); microdata may need request,Not identified,No,https://ess.gov.et/households/,https://ess.gov.et/households/,Official household expenditure surveys including energy-related consumption categories.,Expenditure not physical energy units; publication lag; not utility-grade.,Medium,Primary official
