sector_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_gpc_sector,geographic_coverage,geographic_granularity,granularity_class,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Residential buildings,ARG-001,ARG-001-I.1,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),"Subsecretaría de Ambiente (Secretaría de Ambiente, Turismo y Deportes)",Emissions,Emisiones/absorciones nacionales por sector IPCC; serie histórica; factores y métodos; IBT/INI,I.1,Argentina,Nacional,national,1990–2022 (INGEI/IBT 2024),Ciclos de reporte (IBT/CN) + actualizaciones de plataforma,XLSX / PDF / plataforma interactiva,Open,Como se indica en inventariogei.ambiente.gob.ar,No,https://inventariogei.ambiente.gob.ar/files/,https://inventariogei.ambiente.gob.ar/,Inventario oficial UNFCCC/Paris de Argentina con tablas de emisiones e indicadores descargables.,No es inventario municipal; usar desagregación provincial y datos locales para ciudades.,High,Primary official
Residential buildings,ARG-002,ARG-002-I.1,Asignación por jurisdicción del INGEI (desagregación provincial),Subsecretaría de Ambiente,Emissions,"GEI por provincia/CABA, sector y categoría IPCC — capa subnacional oficial para inventarios locales",I.1,Argentina,Provincia / CABA,other_or_mixed,2010–2022 (archivo desagregacion-provincial),Con ciclos INGEI,XLSX / JSON / PDF metodológico,Open,Como se indica en inventariogei.ambiente.gob.ar,No,https://inventariogei.ambiente.gob.ar/files/desagregacion-provincial.xlsx,https://inventariogei.ambiente.gob.ar/files/Metodologia_INGEI_por_jurisdiccion-new.pdf,Desagregación oficial del INGEI a provincias/CABA (~88% de emisiones 2022 asignadas).,No es LGA/municipio; IPPU y algunas categorías quedan parcialmente sin asignar; top-down en parte.,High,Primary official
Residential buildings,ARG-003,ARG-003-I.1,Balance Energético Nacional (BEN),Secretaría de Energía,Activity,Oferta/demanda de energía por combustible y sector; transformación y consumo final,I.1,Argentina,Nacional (algunas aperturas sectoriales),national,Serie larga desde ~1960; ediciones anuales recientes (2022–2025),Anual,XLSX / PDF / datos.gob.ar,Open,Datos Abiertos Argentina (como se indique),Partial,https://datos.gob.ar/dataset/energia-balances-energeticos,https://www.argentina.gob.ar/economia/energia/planeamiento-energetico/balances-energeticos,Balance energético oficial — base de actividad para energía estacionaria y combustibles.,No es consumo por municipio; inventarios urbanos requieren ENARGAS/CAMMESA/distribuidoras o downscaling.,High,Primary official
Residential buildings,ARG-005,ARG-005-I.1,ENARGAS — anuarios y estadísticas de gas natural,Ente Nacional Regulador del Gas (ENARGAS),Activity,Consumo/ventas de gas por tipo de usuario y jurisdicción; red de distribución — residencial/comercial/industrial,I.1,Argentina (sistema regulado),Nacional; provincia/distribuidora; aperturas por categoría de usuario,national,Anuarios y series periódicas,Anual / mensual según producto,PDF / Excel / datos abiertos,Open,Como indique ENARGAS,Partial,https://www.enargas.gob.ar/,https://www.enargas.gob.ar/secciones/publicaciones/anuarios.php,Estadísticas oficiales de gas natural — principal actividad fósil estacionaria urbana.,Granularidad municipal incompleta; GLP y no conectados requieren otras fuentes.,High,Primary official
Residential buildings,ARG-007,ARG-007-I.1,Volúmenes de combustibles — bocas de expendio y despacho (Res. S.E. 1104/2004 y afines),Secretaría de Energía,Activity,Volúmenes de combustibles líquidos por boca de expendio / localidad — proxy on-road y estacionario,I.1,Argentina,Boca de expendio / localidad / puerto bunker (según serie),facility_or_asset,Series desde ~2003/2013 según resolución,Periódica,Tablas / datos abiertos,Open,Datos Abiertos Argentina / como se indique,No,https://www.argentina.gob.ar/economia/energia/hidrocarburos/volumenes,https://datos.gob.ar/dataset?q=combustible,Ventas/despacho de combustibles a escala localidad — actividad clave para transporte carretero urbano.,Venta ≠ consumo en el municipio; bunker y mayoristas requieren tratamiento aparte.,High,Primary official
Residential buildings,ARG-008,ARG-008-I.1,INDEC — Cuenta de emisiones al aire (CEA-GEI) / cuentas ambientales,Instituto Nacional de Estadística y Censos (INDEC),Hybrid,Cuentas ambientales de GEI (principio de residencia) derivadas del INGEI — marco SEEA complementario,I.1,Argentina,Nacional; industria,national,Según publicaciones CEA (metodología 2025),Periódica,PDF metodológico / tablas,Open,Como indique INDEC,No,https://www.indec.gob.ar/ftp/cuadros/territorio/metodologia_cuenta_emisiones_aire.pdf,https://www.indec.gob.ar/,Cuentas ambientales de GEI del INDEC complementarias al inventario territorial.,No es inventario GPC de ciudad; clasificación económica ≠ IPCC/GPC.,High,Primary official
Residential buildings,ARG-013,ARG-013-I.1,Inventario de GEI de la Ciudad de Buenos Aires (IGEI CABA) — GPC,Gobierno de la Ciudad Autónoma de Buenos Aires,Emissions,"Inventario GPC urbano: energía estacionaria, transporte, residuos (incluye Scope 3 de RSU en CEAMSE)",I.1,Ciudad Autónoma de Buenos Aires,Ciudad,city_or_municipality,Serie plurianual (p.ej. informes 2021–2023),Anual / periódica,PDF (tablas GPC),Open,Como indique GCBA,No,https://www.buenosaires.gob.ar/,https://static.buenosaires.gob.ar/sites/default/files/2025-12/IF-2025-52765385-GCABA-DGPOLEA.pdf,Inventario GPC maduro de la principal ciudad argentina — referencia urbana del país.,Microdatos de utilidades no siempre republicados; aviación/navegación reportadas NO en algunos años.,High,City official
Residential buildings,ARG-018,ARG-018-I.1,ENRE / estadísticas de distribución eléctrica y consumos,Ente Nacional Regulador de la Electricidad (ENRE) / distribuidoras,Activity,Energía distribuida/facturada por categoría de usuario en áreas reguladas (p.ej. AMBA) — I.1–I.3,I.1,Áreas de concesión ENRE (principalmente AMBA); resto vía entes provinciales,Distribuidora / categoría tarifaria; a veces partido,state_or_province,Informes periódicos,Mensual / anual,Informes / Excel,Partial Open,Como indique ENRE,No,https://www.argentina.gob.ar/enre,https://www.argentina.gob.ar/enre,Consumos eléctricos regulados — actividad estacionaria urbana donde hay apertura pública.,Fuera de AMBA depende de cada provincia/distribuidora; API municipal nacional inexistente.,Medium,Primary official / utility
Residential buildings,ARG-020,ARG-020-I.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Grillas y productos urbanos modelados de GEI para contraste,I.1,Global incluyendo Argentina,0.1° / productos ciudad 1 km,modeled_grid,1970–2024,Periódica,NetCDF/CSV,Open,Como indique JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,Producto modelado internacional para gap-fill/contraste vs INGEI/CABA.,Preferir fuentes oficiales argentinas cuando existan.,High,International modeled
Residential buildings,ARG-024,ARG-024-I.1,Datos Abiertos Energía (portal datos.gob.ar / datos.energia.gob.ar),Secretaría de Energía,Activity,"Colección abierta de datasets energéticos (BEN, SESCO, precios, volúmenes) — acceso máquina a actividad energética",I.1,Argentina,Según dataset (nacional a yacimiento/localidad),facility_or_asset,Según cada recurso,Según dataset,CSV / XLSX / API CKAN,Open,Datos Abiertos Argentina,Yes (CKAN),https://datos.gob.ar/dataset?organization=energia,https://www.argentina.gob.ar/datos-abiertos/portal/ener,Portal de datos abiertos energéticos — punto de acceso transversal a actividad energética.,Calidad/actualización varía por dataset; no sustituye inventarios GPC.,High,Primary official
