indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Age Distribution,ARG-A001,ARG-A001-CCRA-001,"INDEC Censo Nacional de Población, Hogares y Viviendas 2022 — radios censales (edad, NBI, vivienda, agua/saneamiento)",Instituto Nacional de Estadística y Censos (INDEC),Hybrid,"Population density, age, NBI/income proxies, water/sanitation, housing for E/V",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Argentina,Radio censal (urban blocks ≈ neighbourhood); fracción/departamento for some tables,neighborhood_or_small_area,present,2022 Census (+ 2010 comparable themes),Census cycle (~10 years),REDATAM / CSV / Portal Geoestadístico,Open (aggregates); microdata via REDATAM,INDEC terms / open data,Partial (geo portal),https://www.indec.gob.ar/indec/web/Nivel4-Tema-2-41-165,https://portalgeoestadistico.indec.gob.ar/,"National E/V backbone at radio censal: age, NBI, dwelling services — city CCRA ready for CABA/AMBA/Rosario/Córdoba/etc.",Some REDATAM themes publish slowly; radio topology may need CONICET-corrected geometries for GIS joins.,High,Primary official
Age Distribution,ARG-A033,ARG-A033-CCRA-001,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),Hybrid,Heat risk composite,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Pipeline-ready,~250 m,modeled_grid,present,Static,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/heat_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF heat risk with Census NBI/age V.,Season config (DJF).,High,OEF derived screening
Age Distribution,ARG-A036,ARG-A036-CCRA-001,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,Vulnerability,"Shared V — age, NBI, housing/WASH from Census",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,City AOI,Radio censal,neighborhood_or_small_area,present,Census-aligned,Per city run,COG / GPKG,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF shared V from INDEC Census NBI/age — strong where REDATAM themes available.,No IMD/SEIFA; compose from NBI + age + WASH.,High,OEF derived screening
Agricultural GDP share,ARG-A014,ARG-A014-CCRA-002,INDEC Censo Nacional Agropecuario 2018 + MAGyP land use / irrigation statistics,"INDEC / Ministerio de Agricultura, Ganadería y Pesca",Exposure,"Agricultural land, establishments, production, irrigation dependence",CCRA-002,Food Security,Droughts; Floods,Exposure,Argentina,Departamento / partido; some raster land-use products,state_or_province,present,CNA 2018; MAGyP annual,Census / annual,Tables / GIS varying,Open,INDEC / MAGyP,Partial,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-8-87,https://www.argentina.gob.ar/agricultura,Strong agri exposure stack for food-security and irrigation dependence (critical in Cuyo/NOA).,Departamento grain often needs downscaling for city AOI; peri-urban farms matter for metros.,High,Primary official
Agricultural GDP share,ARG-A018,ARG-A018-CCRA-002,INDEC Cuentas Nacionales / provincial GVA by industry (agro & industry shares),INDEC,Vulnerability,Agricultural and industrial GDP/GVA shares,CCRA-002,Food Security,Droughts; Floods,Exposure,Argentina,National / provincial,national,present,Annual,Annual,Tables,Open,INDEC,Partial,https://www.indec.gob.ar/,https://www.indec.gob.ar/,Official sectoral GVA for economic dependence.,Needs downscaling for city CCRA.,High,Primary official
Agricultural establishment density,ARG-A014,ARG-A014-CCRA-003,INDEC Censo Nacional Agropecuario 2018 + MAGyP land use / irrigation statistics,"INDEC / Ministerio de Agricultura, Ganadería y Pesca",Exposure,"Agricultural land, establishments, production, irrigation dependence",CCRA-003,Food Security,Droughts; Floods,Exposure,Argentina,Departamento / partido; some raster land-use products,state_or_province,present,CNA 2018; MAGyP annual,Census / annual,Tables / GIS varying,Open,INDEC / MAGyP,Partial,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-8-87,https://www.argentina.gob.ar/agricultura,Strong agri exposure stack for food-security and irrigation dependence (critical in Cuyo/NOA).,Departamento grain often needs downscaling for city AOI; peri-urban farms matter for metros.,High,Primary official
Agricultural land area,ARG-A014,ARG-A014-CCRA-004,INDEC Censo Nacional Agropecuario 2018 + MAGyP land use / irrigation statistics,"INDEC / Ministerio de Agricultura, Ganadería y Pesca",Exposure,"Agricultural land, establishments, production, irrigation dependence",CCRA-004,Food Security,Droughts; Floods,Exposure,Argentina,Departamento / partido; some raster land-use products,state_or_province,present,CNA 2018; MAGyP annual,Census / annual,Tables / GIS varying,Open,INDEC / MAGyP,Partial,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-8-87,https://www.argentina.gob.ar/agricultura,Strong agri exposure stack for food-security and irrigation dependence (critical in Cuyo/NOA).,Departamento grain often needs downscaling for city AOI; peri-urban farms matter for metros.,High,Primary official
Areas of global conservation value,ARG-A016,ARG-A016-CCRA-005,SIB / APN áreas protegidas + WDPA Argentina,Administración de Parques Nacionales / Ambiente / UNEP-WCMC,Exposure,Protected areas and conservation-value sites,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Argentina,PA polygons,facility_or_asset,present,Continuous updates,Periodic,SHP / GeoJSON,Open,Gov AR / WDPA,Yes,https://www.argentina.gob.ar/parquesnacionales,https://www.protectedplanet.net/,Official protected areas — preferred over WDPA alone.,Provincial reserves completeness varies.,High,Primary official
Areas of global conservation value,ARG-A017,ARG-A017-CCRA-005,Biodiversity Intactness Index + KBAs (Argentina),NHM / BirdLife,Vulnerability,BII and areas of global conservation value,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Argentina,Gridded / sites,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA complements to statutory protected areas.,Global models.,Medium,Research/NGO
Biodiversity Intactness Index (BII),ARG-A017,ARG-A017-CCRA-006,Biodiversity Intactness Index + KBAs (Argentina),NHM / BirdLife,Vulnerability,BII and areas of global conservation value,CCRA-006,Biodiversity,Droughts; Heatwaves,Vulnerability,Argentina,Gridded / sites,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA complements to statutory protected areas.,Global models.,Medium,Research/NGO
