indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Age Distribution,CRI-A001,CRI-A001-CCRA-001,INEC Censo 2011 + Estimaciones de población y vivienda 2022 (distrito) / proyecciones 2000–2050,Instituto Nacional de Estadística y Censos (INEC),Hybrid,"Population density, age structure, housing/WASH themes (census); updated distrito population counts",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Costa Rica,Distrito (~491); cantón/provincia aggregates; census segments where published,neighborhood_or_small_area,present;2030;2050,Censo 2011 themes; población/vivienda 2022; proyecciones to 2050,Census cycle + annual estimates,CSV / REDATAM / PDF tables,Open,INEC open terms,Partial,https://inec.cr/,https://admin.inec.cr/,Primary E/V backbone: distrito population/age (+ Census 2011 housing/WASH). Finer than cantón; coarser than MX AGEB/UK LSOA.,Full thematic census refresh lagging vs 2022 estimates; use EHPM/ENAHO for income between censuses. GAM needs multi-distrito AOIs.,High,Primary official
Age Distribution,CRI-A033,CRI-A033-CCRA-001,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),Hybrid,Heat risk composite,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Pipeline-ready,~250 m,modeled_grid,present,Static,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/heat_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF heat risk with INEC/Atlas DH V.,Season config.,High,OEF derived screening
Age Distribution,CRI-A036,CRI-A036-CCRA-001,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,Vulnerability,"Shared V — age, Atlas DH IPM/IDH, Census WASH",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,City AOI,Distrito (+ cantón IPM downscaled cautiously),neighborhood_or_small_area,present,INEC/Atlas-aligned,Per city run,COG / GPKG,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF shared V from INEC + cantonal IPM — workable but less neighbourhood-rich than MEX/GBR/AUS.,IPM is cantonal; avoid over-interpreting within-cantón variation.,Medium,OEF derived screening
Agricultural GDP share,CRI-A013,CRI-A013-CCRA-002,INEC Encuesta Nacional Agropecuaria (ENA) + MAG land use / SENARA irrigation districts,INEC / MAG / SENARA,Exposure,"Agricultural land, establishments, production, irrigation dependence",CCRA-002,Food Security,Droughts; Floods,Exposure,Costa Rica,Cantón/region survey; SENARA district polygons via SNIT,other_or_mixed,present,ENA cycles; SENARA ongoing,Periodic / annual,Tables / OGC / SHP,Open,INEC/MAG/SENARA,Partial (SNIT),https://inec.cr/,https://www.senara.or.cr/,Agri exposure + SENARA irrigation/aquifer layers — irrigation critical in Guanacaste drought CCRA.,Survey grain coarser than farm cadastral; SENARA coverage by district.,High,Primary official
Agricultural GDP share,CRI-A017,CRI-A017-CCRA-002,BCCR / INEC national accounts — agriculture & industry GDP shares,BCCR / INEC,Vulnerability,Agricultural and industrial GDP shares,CCRA-002,Food Security,Droughts; Floods,Exposure,Costa Rica,National (limited regional),national,present,Annual/quarterly,Quarterly,Tables,Open,BCCR/INEC,Partial,https://www.bccr.fi.cr/,https://inec.cr/,Official sectoral GDP for economic dependence.,Needs downscaling for city CCRA.,High,Primary official
Agricultural establishment density,CRI-A013,CRI-A013-CCRA-003,INEC Encuesta Nacional Agropecuaria (ENA) + MAG land use / SENARA irrigation districts,INEC / MAG / SENARA,Exposure,"Agricultural land, establishments, production, irrigation dependence",CCRA-003,Food Security,Droughts; Floods,Exposure,Costa Rica,Cantón/region survey; SENARA district polygons via SNIT,other_or_mixed,present,ENA cycles; SENARA ongoing,Periodic / annual,Tables / OGC / SHP,Open,INEC/MAG/SENARA,Partial (SNIT),https://inec.cr/,https://www.senara.or.cr/,Agri exposure + SENARA irrigation/aquifer layers — irrigation critical in Guanacaste drought CCRA.,Survey grain coarser than farm cadastral; SENARA coverage by district.,High,Primary official
Agricultural land area,CRI-A013,CRI-A013-CCRA-004,INEC Encuesta Nacional Agropecuaria (ENA) + MAG land use / SENARA irrigation districts,INEC / MAG / SENARA,Exposure,"Agricultural land, establishments, production, irrigation dependence",CCRA-004,Food Security,Droughts; Floods,Exposure,Costa Rica,Cantón/region survey; SENARA district polygons via SNIT,other_or_mixed,present,ENA cycles; SENARA ongoing,Periodic / annual,Tables / OGC / SHP,Open,INEC/MAG/SENARA,Partial (SNIT),https://inec.cr/,https://www.senara.or.cr/,Agri exposure + SENARA irrigation/aquifer layers — irrigation critical in Guanacaste drought CCRA.,Survey grain coarser than farm cadastral; SENARA coverage by district.,High,Primary official
Areas of global conservation value,CRI-A015,CRI-A015-CCRA-005,SINAC Áreas Silvestres Protegidas (ASP) + WDPA Costa Rica,SINAC / UNEP-WCMC,Exposure,Protected areas,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Costa Rica,ASP polygons (SNIT OGC),facility_or_asset,present,Continuous updates,Periodic,SHP / OGC,Open,SINAC / WDPA,Yes,https://www.sinac.go.cr/,https://www.protectedplanet.net/,Official protected areas via SNIT — among the strongest PA stacks in this country set.,WDPA as global complement.,High,Primary official
Areas of global conservation value,CRI-A016,CRI-A016-CCRA-005,Biodiversity Intactness Index + KBAs (Costa Rica),NHM / BirdLife,Vulnerability,BII and areas of global conservation value,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Costa Rica,Gridded / sites,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA complements to SINAC ASP.,Global models.,Medium,Research/NGO
Biodiversity Intactness Index (BII),CRI-A016,CRI-A016-CCRA-006,Biodiversity Intactness Index + KBAs (Costa Rica),NHM / BirdLife,Vulnerability,BII and areas of global conservation value,CCRA-006,Biodiversity,Droughts; Heatwaves,Vulnerability,Costa Rica,Gridded / sites,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA complements to SINAC ASP.,Global models.,Medium,Research/NGO
