sector_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_gpc_sector,geographic_coverage,geographic_granularity,granularity_class,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Residential buildings,MEX-001,MEX-001-I.1,Inventario Nacional de Emisiones de Gases y Compuestos de Efecto Invernadero (INEGyCEI),Instituto Nacional de Ecología y Cambio Climático (INECC) / SEMARNAT,Emissions,Emisiones/absorciones nacionales por sector IPCC; serie histórica; BTR/comunicaciones nacionales,I.1,México,Nacional (productos por sector económico también publicados),national,1990–2024 (actualización reciente en datos.gob.mx / BTR1),Según LGCC (anual combustibles fósiles; bienal/cuatrienal otras categorías),XLSX / PDF / datos.gob.mx,Open,Datos Abiertos México (como se indique),No,https://www.datos.gob.mx/dataset/inventario_nacional_emisiones_gases_compuestos_efecto_invernadero_inegycei,https://www.gob.mx/inecc/acciones-y-programas/inventario-nacional-de-emisiones-de-gases-y-compuestos-de-efecto-invernadero,Inventario oficial UNFCCC/Paris de México (INEGyCEI) con tablas descargables.,No es inventario municipal; requiere downscaling o datos locales para ciudades.,High,Primary official
Residential buildings,MEX-003,MEX-003-I.1,Balance Nacional de Energía (BNE),Secretaría de Energía (SENER),Activity,Oferta/demanda de energía por fuente y sector de consumo final; generación eléctrica,I.1,México,Nacional,national,Serie anual (p.ej. BNE 2022 publicado),Anual,PDF / tablas,Open,Como indique SENER,No,https://base.energia.gob.mx/BNE/,https://www.gob.mx/sener,Balance energético oficial — base de actividad para energía estacionaria y transporte.,No es consumo por municipio; inventarios urbanos requieren CFE/SIE regionales o medidores.,High,Primary official
Residential buildings,MEX-004,MEX-004-I.1,Sistema de Información Energética (SIE),SENER,Activity,"Estadísticas energéticas oficiales (electricidad, petrolíferos, gas, precios) en series consultables",I.1,México,Nacional; algunas series regionales/estatales,state_or_province,Series largas según indicador,Mensual / anual según serie,Portal / tablas descargables,Open (registro puede requerirse),Como indique SENER,Partial,https://sie.energia.gob.mx/,https://www.gob.mx/sener,Portal estadístico energético oficial de México.,Granularidad municipal limitada; calidad/actualización varía por serie.,High,Primary official
Residential buildings,MEX-006,MEX-006-I.1,CFE / CRE — ventas y tarifas de electricidad; factor de emisión del SEN,CFE / Comisión Reguladora de Energía (CRE),Hybrid,Ventas de electricidad por tarifa/sector; factor de emisión del sistema eléctrico para Scope 2,I.1,México,Nacional; división/zona; tarifa (municipio vía solicitud o productos parciales),national,Series anuales/mensuales,Anual / periódica,Informes / Excel / acuerdos CRE,Partial Open,Varía,No,https://www.gob.mx/cfe,https://www.gob.mx/cre,Ventas eléctricas y factor de emisión oficial del SEN — núcleo de energía estacionaria urbana.,Extractos abiertos homogéneos por municipio × tarifa no siempre publicados; a menudo requieren gestión con CFE.,High,Primary official / utility
Residential buildings,MEX-008,MEX-008-I.1,CRE / SENER — estadísticas de gas natural y petrolíferos,CRE / SENER,Activity,Consumo/ventas de gas natural y petrolíferos por sector — residencial/comercial/industrial/transporte,I.1,México,Nacional; estatal/regional según producto,state_or_province,Series periódicas SIE/CRE,Mensual / anual,Tablas / portal,Open,Como se indique,Partial,https://sie.energia.gob.mx/,https://www.gob.mx/cre,Estadísticas de gas y combustibles líquidos para energía estacionaria y on-road.,Granularidad municipal incompleta; GLP y no conectados requieren otras fuentes.,High,Primary official
Residential buildings,MEX-014,MEX-014-I.1,Inventario de Emisiones de la ZMVM / CDMX (SEDEMA) — GEI y contaminantes,Secretaría del Medio Ambiente de la Ciudad de México (SEDEMA),Hybrid,"Inventario metropolitano con GEI (y criterios) por categoría — energía, transporte, residuos, área, puntos",I.1,Zona Metropolitana del Valle de México (CDMX + municipios conurbados),ZMVM; entidad/alcaldía según tablas,city_or_municipality,Series plurianuales (p.ej. inventario 2020 publicado),Periódica,PDF / datos SEDEMA,Open,Como indique SEDEMA,No,https://proyectos.sedema.cdmx.gob.mx/datos/storage/app/media/docpub/sedema/inventario-emisiones-cdmx-2020bis.pdf,https://www.sedema.cdmx.gob.mx/,Inventario metropolitano de referencia con GEI — principal producto urbano mexicano.,Metodología aire+GEI (no siempre tablas GPC puras); cobertura ZMVM no nacional.,High,City / metro official
Residential buildings,MEX-015,MEX-015-I.1,Inventarios estatales / municipales de GEI (seleccionados; GCoM y programas estatales),Gobiernos estatales y municipales / programas GCoM,Emissions,Inventarios comunitarios GPC o asimilables publicados por estados/ciudades,I.1,Entidades/municipios seleccionados (cobertura incompleta),Estado / municipio,state_or_province,Años puntuales según jurisdicción,Irregular,PDF / reportes,Partial Open,Varía,No,https://www.globalcovenantofmayors.org/,https://cambioclimatico.gob.mx/,Inventarios locales/estatales adicionales a ZMVM — práctica GPC dispersa sin catálogo nacional único.,Frecuencias y aperturas irregulares; a menudo solo PDF.,Medium,Subnational official
Residential buildings,MEX-017,MEX-017-I.1,Factores de emisión y calculadora RENE / CONUEE,SEMARNAT / INECC / CONUEE,Hybrid,Factores de emisión de combustibles y herramientas de cálculo para actividad→emisiones (incl. electricidad),I.1,México,Nacional (factor eléctrico del SEN),national,Ediciones periódicas de calculadoras/listas de combustibles,Periódica,XLSX / PDF,Open,Como se indique,No,https://cambioclimatico.gob.mx/registro-nacional-de-emisiones/,https://www.gob.mx/conuee,Factores y calculadoras oficiales usadas en reporte RENE e inventarios locales.,No son datos de actividad; factor eléctrico es promedio del SEN.,High,Primary official
Residential buildings,MEX-018,MEX-018-I.1,INEGyCEI desagregación por sectores económicos,INECC,Emissions,"Emisiones reagrupadas en sectores productivos (transporte, electricidad, industria, agro, petróleo y gas, residuos, residencial/comercial)",I.1,México,Nacional por sector económico,national,Publicaciones recientes (p.ej. 1990–2021),Periódica,PDF / tablas,Open,Como indique INECC,No,https://www.gob.mx/cms/uploads/attachment/file/921220/03_2024_EmisionesPorSectoresEcon_micos_290524.pdf,https://www.gob.mx/inecc,Reagrupación económica del INEGyCEI útil para narrar inventarios urbanos/nacionales.,No es GPC ni municipal; complementa el formato IPCC.,High,Primary official
Residential buildings,MEX-020,MEX-020-I.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Grillas y productos urbanos modelados de GEI para contraste,I.1,Global incluyendo México,0.1° / productos ciudad 1 km,modeled_grid,1970–2024,Periódica,NetCDF/CSV,Open,Como indique JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,Producto modelado internacional para gap-fill/contraste vs INEGyCEI/ZMVM.,Preferir fuentes oficiales mexicanas cuando existan.,High,International modeled
