indicator_id,indicator_name,risk_components,kinds,attributes,sectors_served,climatic_risks_served,n_sector_risk_uses,has_future_horizon,description
CCRA-001,Age Distribution,Vulnerability,Demographic; Socioeconomic,Sensitivity,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,4,no,Share of population younger than 5 and older than 60 (or local elderly threshold). These age groups are typically more sensitive to disasters and heat.
CCRA-002,Agricultural GDP share,Exposure,Agriculture,Exposure,Food Security,Droughts; Floods,2,no,"Share of agriculture (and related primary production) in local GDP or employment, indicating economic dependence on climate-sensitive sectors."
CCRA-003,Agricultural establishment density,Exposure,Agriculture,Exposure,Food Security,Droughts; Floods,2,no,Number of agricultural establishments (farms) per unit area. Higher densities of smallholders often imply greater exposure of food systems to drought and flood.
CCRA-004,Agricultural land area,Exposure,Agriculture,Exposure,Food Security,Droughts; Floods,2,no,Share or absolute area of the study unit dedicated to agriculture.
CCRA-005,Areas of global conservation value,Vulnerability,Biological,Sensitivity,Biodiversity,Droughts; Heatwaves,2,no,"Areas of global conservation importance based on three main attributes of conserving biodiversity, carbon and water assets under different area-based conservation targets"
CCRA-006,Biodiversity Intactness Index (BII),Vulnerability,Biological,Sensitivity,Biodiversity,Droughts; Heatwaves,2,no,"The Biodiversity Intactness Index (BII) measures biodiversity change using abundance data on plants, fungi and animals worldwide. The Index shows how local terrestrial biodiversity responds to human pressures such as land use change and intensification."
CCRA-007,Confirmed disease cases,Vulnerability,Socioeconomic,Sensitivity,Public Health,Diseases,1,no,Incidence or count of climate-sensitive disease cases in the study area (from national/local health surveillance systems).
CCRA-008,Dependence on large-scale irrigation,Vulnerability,Socioeconomic,Sensitivity,Food Security,Droughts,1,no,"Dependence of local agriculture on large-scale irrigation, combining irrigated area share and irrigation water demand relative to total water use."
CCRA-009,Electricity consumption,Vulnerability,Socioeconomic,Sensitivity,Energy Security,Droughts; Heatwaves,2,no,Electricity consumers and/or consumption intensity in the study area. Higher dependence on electricity increases sensitivity to drought- and heat-driven supply disruptions.
CCRA-010,Energy poverty,Vulnerability,Socioeconomic,Sensitivity,Energy Security,Droughts; Heatwaves,2,no,"Multidimensional energy poverty: physical access to energy, ownership of essential energy-using appliances, and ability to afford energy services. Can be derived from census/survey indicators adapted to each country."
CCRA-011,Flood Threat Index,Hazard,Bioclimatic,Susceptibility,Hydrogeological Disasters,Floods,3,yes,"Modeled flood susceptibility from hydrology and terrain (e.g. elevation, slope, flow accumulation, distance to rivers), land cover, and extreme rainfall indices (e.g. Rx1day, Rx5day), optionally combined with inundation depth/extent products."
CCRA-012,Food production and marketing,Vulnerability,Agriculture; Socioeconomic,Sensitivity,Food Security,Droughts; Floods,2,no,This information is the result of the composition of the indicators: low production of basic foods and lack of diversification of local production.
CCRA-013,Forest cover,Vulnerability,Physical,Sensitivity,Infrastructures,Erosions; Heatwave,2,no,Forests minimize the soil erosion as tree crowns provide a surface cover which is able to reduce rainfall kinetic energy by intercepting precipitation
CCRA-014,Forest loss,Exposure,Physical,Exposure,Public Health,Diseases,1,no,Recent reduction of forest or native vegetation cover within the study area.
CCRA-015,Health and basic services access,Exposure,Socioeconomic,People exposure,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,5,no,"Composite access to health and basic services (e.g. vaccination coverage, primary-care outcomes, infant mortality, malnutrition, piped water, adequate sanitation). Operationalize with local census/health statistics."
CCRA-016,Health facility density,Vulnerability,Socioeconomic,Sensitivity,Public Health,Diseases; Heatwaves,2,no,"Density or accessibility of health facilities (hospitals, clinics) relative to population in the study area."
CCRA-017,Households in hazard-prone areas,Exposure,Physical; Socioeconomic,Exposure; People exposure,Hydrogeological Disasters,Floods; Landslides,2,no,"Count or share of households located in mapped hazard-prone zones (e.g. floodplains, landslide-susceptible slopes). Country-specific risk inventories or building footprints intersected with hazard layers can operationalize this indicator."
