indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Age Distribution,AUS-A001,AUS-A001-CCRA-001,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",Australian Bureau of Statistics (ABS),Hybrid,"Population density, age distribution, income, housing/WASH proxies for E/V",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Australia,SA1 (~200–800 people) / SA2; Mesh Block for some counts,neighborhood_or_small_area,present,2021 Census (+ 2016 comparable),Census cycle (5 years),CSV / TableBuilder / DataPacks / API,Open,Creative Commons Attribution 4.0 (ABS),Yes (ABS.Stat / Data API),https://www.abs.gov.au/census,https://www.abs.gov.au/statistics/people/population,"National gold-standard E/V backbone at SA1: age, income, tenure, dwelling type — city CCRA ready (closest ACS/LSOA analogue).",Urban piped water/sanitation near-universal — use carefully for WASH; remote/Indigenous gaps remain.,High,Primary official
Age Distribution,AUS-A033,AUS-A033-CCRA-001,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),Hybrid,Heat risk composite,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Pipeline-ready,~250 m,modeled_grid,present,Static,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/heat_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF heat risk with Census/SEIFA V.,Season config (DJF).,High,OEF derived screening
Age Distribution,AUS-A036,AUS-A036-CCRA-001,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,Vulnerability,"Shared V — age, SEIFA/IRSD, housing from Census",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,City AOI,SA1,neighborhood_or_small_area,present,Census/SEIFA-aligned,Per city run,COG / GPKG,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF shared V from ABS Census + SEIFA — strong V stack for AUS cities.,Composition site-specific; energy poverty constructed not official fuel poverty.,High,OEF derived screening
Agricultural GDP share,AUS-A016,AUS-A016-CCRA-002,ABARES / ABS Agricultural Census + Catchment Scale Land Use (CLUM) / irrigated agriculture layers,ABARES / ABS / DAFF,Exposure,"Agricultural land area, production, holdings, irrigation dependence",CCRA-002,Food Security,Droughts; Floods,Exposure,Australia,CLUM ~50 m; Agricultural Census SA2/region,modeled_grid,present,CLUM cycles; Ag Census,Periodic / census,GeoTIFF / tables,Open,CC BY / ABS,Partial,https://www.agriculture.gov.au/abares,https://www.abs.gov.au/statistics/industry/agriculture,Strong agri exposure stack: CLUM land use + Agricultural Census — irrigation critical for AUS drought CCRA.,City AOIs may be peri-urban only; irrigation districts matter for inland metros.,High,Primary official
Agricultural GDP share,AUS-A020,AUS-A020-CCRA-002,ABS National Accounts / state GVA by industry (agriculture & industry shares),Australian Bureau of Statistics,Vulnerability,Agricultural and industrial GDP/GVA shares,CCRA-002,Food Security,Droughts; Floods,Exposure,Australia,National / state/territory,national,present,Annual/quarterly,Quarterly,Tables / ABS.Stat,Open,CC BY 4.0,Yes,https://www.abs.gov.au/statistics/economy/national-accounts,https://www.abs.gov.au/,Official sectoral GVA for economic dependence indicators.,Needs downscaling for city CCRA.,High,Primary official
Agricultural establishment density,AUS-A016,AUS-A016-CCRA-003,ABARES / ABS Agricultural Census + Catchment Scale Land Use (CLUM) / irrigated agriculture layers,ABARES / ABS / DAFF,Exposure,"Agricultural land area, production, holdings, irrigation dependence",CCRA-003,Food Security,Droughts; Floods,Exposure,Australia,CLUM ~50 m; Agricultural Census SA2/region,modeled_grid,present,CLUM cycles; Ag Census,Periodic / census,GeoTIFF / tables,Open,CC BY / ABS,Partial,https://www.agriculture.gov.au/abares,https://www.abs.gov.au/statistics/industry/agriculture,Strong agri exposure stack: CLUM land use + Agricultural Census — irrigation critical for AUS drought CCRA.,City AOIs may be peri-urban only; irrigation districts matter for inland metros.,High,Primary official
Agricultural land area,AUS-A016,AUS-A016-CCRA-004,ABARES / ABS Agricultural Census + Catchment Scale Land Use (CLUM) / irrigated agriculture layers,ABARES / ABS / DAFF,Exposure,"Agricultural land area, production, holdings, irrigation dependence",CCRA-004,Food Security,Droughts; Floods,Exposure,Australia,CLUM ~50 m; Agricultural Census SA2/region,modeled_grid,present,CLUM cycles; Ag Census,Periodic / census,GeoTIFF / tables,Open,CC BY / ABS,Partial,https://www.agriculture.gov.au/abares,https://www.abs.gov.au/statistics/industry/agriculture,Strong agri exposure stack: CLUM land use + Agricultural Census — irrigation critical for AUS drought CCRA.,City AOIs may be peri-urban only; irrigation districts matter for inland metros.,High,Primary official
Areas of global conservation value,AUS-A018,AUS-A018-CCRA-005,Collaborative Australian Protected Areas Database (CAPAD) / WDPA,DCCEEW / UNEP-WCMC,Exposure,Protected areas,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Australia,PA polygons,facility_or_asset,present,Biennial CAPAD releases,Biennial,SHP / GDB,Open,CC BY,Yes,https://www.dcceew.gov.au/environment/land/nrs/science/capad,https://www.protectedplanet.net/,Official Australian protected areas database — preferred over WDPA alone.,WDPA as global complement.,High,Primary official
Areas of global conservation value,AUS-A019,AUS-A019-CCRA-005,Biodiversity Intactness Index + Key Biodiversity Areas (Australia),NHM / BirdLife,Vulnerability,BII and areas of global conservation value,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,Australia,Gridded / site polygons,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA for biodiversity vulnerability.,Global models — complement with CAPAD and state biodiversity assessments.,Medium,Research/NGO
Biodiversity Intactness Index (BII),AUS-A019,AUS-A019-CCRA-006,Biodiversity Intactness Index + Key Biodiversity Areas (Australia),NHM / BirdLife,Vulnerability,BII and areas of global conservation value,CCRA-006,Biodiversity,Droughts; Heatwaves,Vulnerability,Australia,Gridded / site polygons,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA for biodiversity vulnerability.,Global models — complement with CAPAD and state biodiversity assessments.,Medium,Research/NGO
