iso3,country,tier,score,related_ccra_indicator,indicator_name,dataset_count,proxy_dataset_count,coverage_status,readiness_status,best_granularity_class,best_granularity_label,needs_city_downscaling,top_dataset_1,top_dataset_1_id,top_dataset_2,top_dataset_3,top_note
GBR,United Kingdom,A,94,CCRA-001,Age Distribution,3,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",GBR-A001,OEF shared city Vulnerability score (age/social screening),OEF Heat Risk Score H×E×V (city screening),
GBR,United Kingdom,A,94,CCRA-002,Agricultural GDP share,2,0,covered,mixed,facility_or_asset,Facility / asset (city-usable),no,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",GBR-A016,ONS / OBR National Accounts — agriculture & industry GVA shares,,
GBR,United Kingdom,A,94,CCRA-003,Agricultural establishment density,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",GBR-A016,,,
GBR,United Kingdom,A,94,CCRA-004,Agricultural land area,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",GBR-A016,,,
GBR,United Kingdom,A,94,CCRA-005,Areas of global conservation value,2,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,Natural England / NRW / NatureScot protected sites + WDPA,GBR-A018,Biodiversity Intactness Index + KBAs (UK),,
GBR,United Kingdom,A,94,CCRA-006,Biodiversity Intactness Index (BII),1,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,Biodiversity Intactness Index + KBAs (UK),GBR-A019,,,
GBR,United Kingdom,A,94,CCRA-007,Confirmed disease cases,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,NHS Digital / ODS health sites + OSM healthcare POIs,GBR-A005,,,
GBR,United Kingdom,A,94,CCRA-008,Dependence on large-scale irrigation,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",GBR-A016,,,
GBR,United Kingdom,A,94,CCRA-009,Electricity consumption,1,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,DESNZ DUKES / Digest of UK Energy Statistics; subnational electricity & gas; WRI power plants,GBR-A023,,,
GBR,United Kingdom,A,94,CCRA-010,Energy poverty,4,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,DESNZ DUKES / Digest of UK Energy Statistics; subnational electricity & gas; WRI power plants,GBR-A023,DESNZ Fuel Poverty statistics (England) + devolved fuel poverty measures,English Indices of Deprivation (IoD/IMD) + Welsh/Scottish/NI IMD,
