sector_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_gpc_sector,geographic_coverage,geographic_granularity,granularity_class,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Residential buildings,AUS-001,AUS-001-I.1,Australia's National Greenhouse Accounts / National Inventory Report (NIR),"Department of Climate Change, Energy, the Environment and Water (DCCEEW)",Emissions,National GHG by IPCC sector/gas; methods and factors; quarterly updates; economic-sector inventory,I.1,Australia,National,national,1990–2023/24 (NGA 2024 cycle); quarterly updates,Annual NIR + quarterly updates,Interactive web / tables / PDF NIR,Open,Creative Commons (as stated on ANGA / DCCEEW),No,https://greenhouseaccounts.climatechange.gov.au/,https://www.dcceew.gov.au/climate-change/emissions-reporting/tracking-reporting-emissions,Official UNFCCC NIR and National Greenhouse Accounts portal (successor to AGEIS).,"Not LGA/city boundary; use state inventories, Snapshot, or local activity data for cities.",High,Primary official
Residential buildings,AUS-002,AUS-002-I.1,State and Territory Greenhouse Gas Inventories,DCCEEW,Emissions,State/territory disaggregation of the national inventory by sector,I.1,Australia,State / territory,state_or_province,Aligned with National Greenhouse Accounts annual series,Annual,Tables / ANGA portal / PDF,Open,Creative Commons (as stated),No,https://greenhouseaccounts.climatechange.gov.au/,https://www.dcceew.gov.au/climate-change/emissions-reporting/tracking-reporting-emissions,Official state/territory GHG inventories — primary subnational official emissions layer.,Not municipal; city inventories need further downscaling or local data.,High,Primary official
Residential buildings,AUS-004,AUS-004-I.1,National Greenhouse Accounts Factors,DCCEEW,Hybrid,"Emission factors for fuels, electricity (state), waste, refrigerants and related activity-to-emissions conversion",I.1,Australia,National; state electricity factors,state_or_province,Annual workbook editions,Annual,PDF / workbook,Open,Creative Commons (as stated),No,https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors,https://www.dcceew.gov.au/climate-change/emissions-reporting/tracking-reporting-emissions,Standard Australian emission factors widely used in city and organisational inventories.,Not activity data; electricity factors are state/grid averages.,High,Primary official
Residential buildings,AUS-005,AUS-005-I.1,Australian Energy Statistics / Australian Energy Update,DCCEEW (energy.gov.au),Activity,"Energy supply/demand by fuel, industry and state/territory; electricity generation and gas consumption",I.1,Australia,National; state/territory,state_or_province,Long FY series (latest AES includes 2023–24),Annual,XLSX tables / PDF,Open,Creative Commons (as stated),No,https://www.energy.gov.au/energy-data/australian-energy-statistics,https://www.energy.gov.au/publications/australian-energy-update-2025,Authoritative Australian energy balance and state fuel/industry consumption tables.,Not LGA meter extracts; city inventories need DNSP/retailer or modelled LGA products.,High,Primary official
Residential buildings,AUS-006,AUS-006-I.1,"Energy Account, Australia (ABS)",Australian Bureau of Statistics (ABS),Hybrid,Physical energy supply/use by industry and households; monetary energy accounts,I.1,Australia,National; industry,national,Annual FY series (latest 2023–24),Annual,Tables / CSV / data explorer,Open,Creative Commons Attribution 4.0,Yes (ABS API),https://www.abs.gov.au/statistics/industry/energy/energy-account-australia/latest-release,https://www.abs.gov.au/statistics/industry/energy/energy-account-australia/latest-release,Official SEEA-style energy accounts complementary to AES and the NIR.,Not GPC city inventory; industry classification differs from IPCC/GPC.,High,Primary official
Residential buildings,AUS-015,AUS-015-I.1,Snapshot Climate — municipal community GHG profiles,Ironbark Sustainability / Beyond Zero Emissions (Snapshot),Emissions,"GPC BASIC+ style municipality emissions profiles for all Australian LGAs (stationary, transport, waste, IPPU, AFOLU, fugitives)",I.1,Australia,Local government area; federal electorate; state,other_or_mixed,Annual profiles (multi-year series on portal),Annual,Web profiles / downloadable reports,Open (free profiles),As stated by Snapshot,No,https://snapshotclimate.com.au/,https://snapshotclimate.com.au/user-guide/,Nationwide LGA GHG profiles (GPC-oriented) filling the absence of an official LA inventory like UK DESNZ.,Hybrid Tier1/Tier2 modelled product — not a government National Statistic; calibrate to NIR/NGER/local utility data.,Medium,NGO / compiled municipal product
Residential buildings,AUS-016,AUS-016-I.1,City of Melbourne Municipal Greenhouse Gas Emissions (open data),City of Melbourne,Emissions,"GPC municipal inventory open dataset for Melbourne (stationary energy, transport, waste scopes)",I.1,City of Melbourne LGA,City / LGA,city_or_municipality,2013–2020 open series (ongoing CDP/GCoM reporting),Periodic open releases / annual reporting,CSV / XLS / JSON,Open,As stated on Data Vic / Melbourne open data,Partial,https://discover.data.vic.gov.au/dataset/city-of-melbourne-municipal-greenhouse-gas-emissions-2013-2020,https://www.melbourne.vic.gov.au/,Example open GPC city inventory dataset for a major Australian city.,Single-city; other capitals often publish PDFs/CDP without full open tables.,High,City official
Residential buildings,AUS-018,AUS-018-I.1,DNSP / gas distributor open LGA energy consumption extracts (selected networks),Distribution networks (e.g. Jemena and other DNSPs/gas distributors) + state open data portals,Activity,Electricity/gas consumption by LGA or zone where networks publish open extracts — residential/commercial proxies,I.1,Selected network territories (coverage incomplete nationally),LGA / zone substation / postcode (varies),neighborhood_or_small_area,Network-dependent series,Varies,CSV / dashboards / PDF,Partial Open,Varies by network,Partial,https://near.csiro.au/,https://www.aemo.com.au/,Network-level open consumption products (patchy) — best local activity layer when available.,Not nationally standardised; many LGAs require data requests; privacy aggregation rules apply.,Medium,Utility / network
Residential buildings,AUS-021,AUS-021-I.1,Household energy surveys / ABS household consumption modules,Australian Bureau of Statistics,Activity,Household energy use patterns and expenditures — residential supporting & Scope 3 proxies,I.1,Australia,National/state (sample surveys),state_or_province,Periodic survey cycles,Periodic,Tables / microdata (access varies),Open (aggregates),Creative Commons Attribution 4.0,Partial,https://www.abs.gov.au/statistics/industry/energy,https://www.abs.gov.au/,Household survey products supporting residential energy characterisation.,Not billed utility meters; sample-based.,High,Primary official
Residential buildings,AUS-022,AUS-022-I.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products for cross-check,I.1,Global including Australia,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,Modeled gap-fill/cross-check versus NGA/NGER/Snapshot/city inventories.,Prefer official Australian sources when available.,High,International modeled
