indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Age Distribution,MEX-A001,MEX-A001-CCRA-001,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,Instituto Nacional de Estadística y Geografía (INEGI),Hybrid,"Population density, age, income proxies, water/sanitation/drainage dwelling fields, electricity for E/V",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,México (urban AGEB/manzana; rural via ITER/localidad),AGEB / manzana urbana (finest standard census units),neighborhood_or_small_area,present,2020 Census,Census cycle (10 years) + intercensal,CSV / SCITEL / SCINCE / Marco Geoestadístico,Open,INEGI open terms / datos abiertos,Yes (downloads / APIs),https://www.inegi.org.mx/programas/ccpv/2020/,https://www.inegi.org.mx/app/scitel/,"National gold-standard E/V backbone at AGEB/manzana: age, dwelling services (agua, drenaje, electricidad), sociodemographics — city CCRA ready.",Rural manzana coverage limited; use ITER for rural localities. Privacy asterisks on small counts.,High,Primary official
Age Distribution,MEX-A033,MEX-A033-CCRA-001,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),Hybrid,Heat risk composite,CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,Pipeline-ready,~250 m,modeled_grid,present,Static,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/heat_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF heat risk with Census/CONEVAL V.,Season config.,High,OEF derived screening
Age Distribution,MEX-A036,MEX-A036-CCRA-001,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,Vulnerability,"Shared V — age, CONEVAL GRS/pobreza, Census WASH",CCRA-001,Hydrogeological Disasters; Public Health,Diseases; Floods; Heatwaves; Landslides,Vulnerability,City AOI,AGEB,neighborhood_or_small_area,present,Census/CONEVAL-aligned,Per city run,COG / GPKG,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF shared V from INEGI + CONEVAL — among the richest V stacks in this country set.,Composition site-specific.,High,OEF derived screening
Agricultural GDP share,MEX-A013,MEX-A013-CCRA-002,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,INEGI / SIAP–SADER,Exposure,"Agricultural land, establishments, production, irrigation dependence",CCRA-002,Food Security,Droughts; Floods,Exposure,México,Municipio / agricultural census units; SIAP rasters/tables,state_or_province,present,Censo Agropecuario cycles; SIAP annual,Census / annual,Tables / GIS,Open,INEGI / SIAP,Partial,https://www.inegi.org.mx/programas/cagf/,https://www.gob.mx/siap,Strong agri exposure stack; irrigation critical for drought CCRA in many states.,Municipio grain often needs downscaling for city AOI.,High,Primary official
Agricultural GDP share,MEX-A017,MEX-A017-CCRA-002,INEGI SCN / Cuentas por sectores — agroindustria e industria (PIB shares),INEGI,Vulnerability,Agricultural and industrial GDP shares,CCRA-002,Food Security,Droughts; Floods,Exposure,México,National / entidad federativa,national,present,Annual/quarterly,Quarterly,Tables,Open,INEGI,Yes,https://www.inegi.org.mx/temas/pib/,https://www.inegi.org.mx/,Official sectoral GDP for economic dependence indicators.,Needs downscaling for city CCRA.,High,Primary official
Agricultural establishment density,MEX-A013,MEX-A013-CCRA-003,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,INEGI / SIAP–SADER,Exposure,"Agricultural land, establishments, production, irrigation dependence",CCRA-003,Food Security,Droughts; Floods,Exposure,México,Municipio / agricultural census units; SIAP rasters/tables,state_or_province,present,Censo Agropecuario cycles; SIAP annual,Census / annual,Tables / GIS,Open,INEGI / SIAP,Partial,https://www.inegi.org.mx/programas/cagf/,https://www.gob.mx/siap,Strong agri exposure stack; irrigation critical for drought CCRA in many states.,Municipio grain often needs downscaling for city AOI.,High,Primary official
Agricultural land area,MEX-A013,MEX-A013-CCRA-004,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,INEGI / SIAP–SADER,Exposure,"Agricultural land, establishments, production, irrigation dependence",CCRA-004,Food Security,Droughts; Floods,Exposure,México,Municipio / agricultural census units; SIAP rasters/tables,state_or_province,present,Censo Agropecuario cycles; SIAP annual,Census / annual,Tables / GIS,Open,INEGI / SIAP,Partial,https://www.inegi.org.mx/programas/cagf/,https://www.gob.mx/siap,Strong agri exposure stack; irrigation critical for drought CCRA in many states.,Municipio grain often needs downscaling for city AOI.,High,Primary official
Areas of global conservation value,MEX-A015,MEX-A015-CCRA-005,CONANP / CONABIO Áreas Naturales Protegidas + WDPA México,CONANP / CONABIO / UNEP-WCMC,Exposure,Protected areas,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,México,ANP polygons,facility_or_asset,present,Continuous updates,Periodic,SHP / GeoJSON,Open,Gov MX / WDPA,Yes,https://www.gob.mx/conanp,https://www.protectedplanet.net/,Official Mexican protected areas — preferred over WDPA alone.,ADVC/other conserved areas may need CONABIO complements.,High,Primary official
Areas of global conservation value,MEX-A016,MEX-A016-CCRA-005,Biodiversity Intactness Index + KBAs (México),NHM / BirdLife,Vulnerability,BII and areas of global conservation value,CCRA-005,Biodiversity,Droughts; Heatwaves,Vulnerability,México,Gridded / sites,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA complements to ANP.,Global models — complement with CONABIO biodiversity layers.,Medium,Research/NGO
Biodiversity Intactness Index (BII),MEX-A016,MEX-A016-CCRA-006,Biodiversity Intactness Index + KBAs (México),NHM / BirdLife,Vulnerability,BII and areas of global conservation value,CCRA-006,Biodiversity,Droughts; Heatwaves,Vulnerability,México,Gridded / sites,modeled_grid,present,Model/KBA vintages,Product updates,GeoTIFF / SHP,Open/research,See products,Varies,https://www.keybiodiversityareas.org/,https://www.nhm.ac.uk/our-science/data/biodiversity-indicators.html,BII + KBA complements to ANP.,Global models — complement with CONABIO biodiversity layers.,Medium,Research/NGO
Confirmed disease cases,MEX-A005,MEX-A005-CCRA-007,CLUES / SSA establecimientos de salud + OSM healthcare POIs,Secretaría de Salud / DGIS / OSM,Vulnerability,Health facility density; disease surveillance aggregates (soft),CCRA-007,Public Health,Diseases,Vulnerability,México,Facility points (CLUES); municipio for some surveillance,facility_or_asset,present,Ongoing,Periodic,CSV / GeoJSON,Open (CLUES); case microdata restricted,Gov MX / ODbL,Partial,http://www.dgis.salud.gob.mx/,https://www.gob.mx/salud,Official health facility catalogue (CLUES) for density; SUIVE aggregates for disease — not open case GIS.,Confirmed disease cases soft gap at city-block grain.,High,Primary official
Dependence on large-scale irrigation,MEX-A013,MEX-A013-CCRA-008,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,INEGI / SIAP–SADER,Exposure,"Agricultural land, establishments, production, irrigation dependence",CCRA-008,Food Security,Droughts,Vulnerability,México,Municipio / agricultural census units; SIAP rasters/tables,state_or_province,present,Censo Agropecuario cycles; SIAP annual,Census / annual,Tables / GIS,Open,INEGI / SIAP,Partial,https://www.inegi.org.mx/programas/cagf/,https://www.gob.mx/siap,Strong agri exposure stack; irrigation critical for drought CCRA in many states.,Municipio grain often needs downscaling for city AOI.,High,Primary official
Electricity consumption,MEX-A019,MEX-A019-CCRA-009,CENACE / CFE / CRE generation registers + WRI Global Power Plant Database,CENACE / CFE / CRE / WRI,Exposure,Power generation facilities,CCRA-009,Energy Security,Droughts; Heatwaves,Vulnerability,México,Facility points,facility_or_asset,present,Ongoing registers,Periodic,CSV / tables / open data,Partially open,Gov MX / CC BY,Partial,https://www.gob.mx/cenace,https://www.gob.mx/cre,Generation locations for Energy Security exposure.,Some distributed assets incomplete.,High,Primary official
Electricity consumption,MEX-A020,MEX-A020-CCRA-009,SENER BNE/SIE electricity sales; Census dwelling electricity & CONEVAL energy-related carencias,SENER / INEGI / CONEVAL,Vulnerability,Electricity consumption; energy poverty proxies,CCRA-009,Energy Security,Droughts; Heatwaves,Vulnerability,México,Entidad/municipio (SIE); AGEB via Census electricity + GRS,other_or_mixed,present,Annual BNE/SIE; Census 2020,Annual / census,Tables / CSV,Open,Gov MX,Partial,https://www.gob.mx/sener,https://sie.energia.gob.mx/,National/state electricity use; AGEB energy poverty via Census electricity access + CONEVAL carencias (no UK fuel-poverty LSOA).,Municipal meter extracts heterogeneous.,Medium,Primary official
Energy poverty,MEX-A001,MEX-A001-CCRA-010,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,Instituto Nacional de Estadística y Geografía (INEGI),Hybrid,"Population density, age, income proxies, water/sanitation/drainage dwelling fields, electricity for E/V",CCRA-010,Energy Security,Droughts; Heatwaves,Vulnerability,México (urban AGEB/manzana; rural via ITER/localidad),AGEB / manzana urbana (finest standard census units),neighborhood_or_small_area,present,2020 Census,Census cycle (10 years) + intercensal,CSV / SCITEL / SCINCE / Marco Geoestadístico,Open,INEGI open terms / datos abiertos,Yes (downloads / APIs),https://www.inegi.org.mx/programas/ccpv/2020/,https://www.inegi.org.mx/app/scitel/,"National gold-standard E/V backbone at AGEB/manzana: age, dwelling services (agua, drenaje, electricidad), sociodemographics — city CCRA ready.",Rural manzana coverage limited; use ITER for rural localities. Privacy asterisks on small counts.,High,Primary official
Energy poverty,MEX-A002,MEX-A002-CCRA-010,CONEVAL Grado de Rezago Social AGEB urbana 2020 + estimaciones de pobreza urbana (AGEB/localidad),CONEVAL,Vulnerability,Income/poverty and multi-domain social deprivation (IMD/SEIFA analogue),CCRA-010,Energy Security,Droughts; Heatwaves,Vulnerability,México (urban AGEB; municipal poverty nationwide),AGEB urbana (GRS/pobreza ranges); municipio for official poverty,neighborhood_or_small_area,present,2020 (Census-aligned),CONEVAL measurement cycles,CSV / SHP / PDF maps,Open,CONEVAL open,Downloads,https://www.coneval.org.mx/Medicion/IRS/Paginas/Rezago_social_AGEB_2020.aspx,https://www.coneval.org.mx/Medicion/Paginas/PobrezaInicio.aspx,Canonical small-area deprivation: GRS AGEB + poverty estimates — preferred Income/V proxy (closest to IMD/SEIFA in this set).,GRS ≠ full multidimensional poverty (excludes income/food in GRS itself); combine with poverty AGEB products and Census.,High,Primary official
Energy poverty,MEX-A020,MEX-A020-CCRA-010,SENER BNE/SIE electricity sales; Census dwelling electricity & CONEVAL energy-related carencias,SENER / INEGI / CONEVAL,Vulnerability,Electricity consumption; energy poverty proxies,CCRA-010,Energy Security,Droughts; Heatwaves,Vulnerability,México,Entidad/municipio (SIE); AGEB via Census electricity + GRS,other_or_mixed,present,Annual BNE/SIE; Census 2020,Annual / census,Tables / CSV,Open,Gov MX,Partial,https://www.gob.mx/sener,https://sie.energia.gob.mx/,National/state electricity use; AGEB energy poverty via Census electricity access + CONEVAL carencias (no UK fuel-poverty LSOA).,Municipal meter extracts heterogeneous.,Medium,Primary official
Flood Threat Index,MEX-A006,MEX-A006-CCRA-011,CENAPRED Atlas Nacional de Riesgos — peligro/vulnerabilidad por inundación + catálogo de inundaciones,CENAPRED,Hazard,Primary national Flood Threat indices and flood event catalogue,CCRA-011,Hydrogeological Disasters,Floods,Hazard,México,National peril/vulnerability indices; municipal event layers; ZMVM atlas enhancements,modeled_grid,present,Índice peligro 2016; vulnerabilidad 2017; catálogo 2020+; atlas updates,ANR / service updates,ArcGIS REST / WMS / downloads,Open view/services,CENAPRED / Gov MX,Yes (MapServer),http://www.atlasnacionalderiesgos.gob.mx/,http://servicios2.cenapred.unam.mx:6080/arcgis/rest/services/ANR/Fenomenos_Hidrometeorologicos/MapServer,Authoritative national flood peril & vulnerability layers via ANR — strongest single Flood Threat path for MEX cities.,Not always property-scale engineering AEP maps; use state/municipal atlas for detail. Climate-change flood futures uneven.,High,Primary official
Flood Threat Index,MEX-A007,MEX-A007-CCRA-011,Atlas estatales/municipales de riesgos + CONAGUA puntos críticos de inundación,Estados / municipios / CONAGUA–CENAPRED,Hazard,Local flood hazard and critical inundation points for city CCRA,CCRA-011,Hydrogeological Disasters,Floods,Hazard,México (coverage by atlas program),Municipal/state flood polygons / critical points,other_or_mixed,present,Atlas vintages vary,Program cycles,SHP / PDF / REST,Mostly open via ANR portal,State/municipal,Partial,http://www.atlasnacionalderiesgos.gob.mx/,https://www.gob.mx/conagua,State/municipal risk atlases and CONAGUA critical flood points — city-scale complement to national indices.,Quality and GIS openness vary by municipality.,High,Primary official
Flood Threat Index,MEX-A008,MEX-A008-CCRA-011,JRC Global River Flood Hazard + WRI Aqueduct Flood,JRC / WRI,Hazard,Global fluvial flood alternatives / OEF flood_hazard inputs,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global (incl. México),Raster,modeled_grid,present,Model vintages,Product versions,GeoTIFF,Open,See publishers,Yes,https://data.jrc.ec.europa.eu/,https://www.wri.org/aqueduct,Global flood rasters for OEF ensemble; secondary to CENAPRED/ANR for MEX.,Prefer CENAPRED locally.,High,International modeled
Flood Threat Index,MEX-A011,MEX-A011-CCRA-011,CHIRPS + ERA5-Land extremes / OEF HWM & FRI inputs,UCSB CHIRPS / ECMWF / OEF,Hazard,"Rx5day, CDD, humidity, SPEI, heatwave, FRI futures",CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global (incl. México),0.05°–0.1° / OEF derivatives,modeled_grid,present;2030;2050,Multi-decadal + OEF futures,Near real-time / CDS,GeoTIFF / NetCDF,Open,Open/Copernicus,Yes,https://www.chc.ucsb.edu/data/chirps,https://cds.climate.copernicus.eu/,Open global extremes and OEF derivatives as operational CCRA rasters/futures.,Prefer SMN/INECC for official MX climate narrative.,High,International modeled
Flood Threat Index,MEX-A028,MEX-A028-CCRA-011,OEF CHIRPS–COPDEM Flood Risk Index (FRI) — present+SSP,Open Earth Foundation,Hazard,FRI futures complement to CENAPRED present flood indices,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global / city AOIs,Model raster,modeled_grid,present;2030;2050,2024 + SSP,Internal,COG,Internal/open per OEF,See catalog,Via catalog,https://github.com/Open-Earth-Foundation/geospatial-data,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/catalog/datasets.yaml,OEF FRI — useful SSP futures where ANR flood CC layers limited.,Prefer CENAPRED for present flood peril citation.,Medium,OEF derived screening
