iso3,country,tier,score,related_gpc_sector,sector_name,dataset_count,coverage_status,best_granularity_class,best_granularity_label,needs_city_downscaling,top_dataset_1,top_dataset_1_id,top_dataset_2,top_dataset_3
GBR,United Kingdom,A,93,I.1,Residential buildings,9,covered,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,Subnational electricity and gas consumption statistics (LA / MSOA / LSOA),GBR-003,UK local authority and regional greenhouse gas emissions statistics,London Energy and Greenhouse Gas Inventory (LEGGI)
GBR,United Kingdom,A,93,I.2,Commercial & institutional buildings,9,covered,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,Subnational electricity and gas consumption statistics (LA / MSOA / LSOA),GBR-003,UK local authority and regional greenhouse gas emissions statistics,London Energy and Greenhouse Gas Inventory (LEGGI)
GBR,United Kingdom,A,93,I.3,Manufacturing industries & construction,12,covered,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,Subnational electricity and gas consumption statistics (LA / MSOA / LSOA),GBR-003,UK local authority and regional greenhouse gas emissions statistics,London Energy and Greenhouse Gas Inventory (LEGGI)
GBR,United Kingdom,A,93,I.4,Energy industries,13,covered,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,Subnational electricity and gas consumption statistics (LA / MSOA / LSOA),GBR-003,UK local authority and regional greenhouse gas emissions statistics,London Energy and Greenhouse Gas Inventory (LEGGI)
GBR,United Kingdom,A,93,I.5,"Agriculture, forestry & fishing energy",5,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,Subnational total final energy / residual fuels consumption (non-gas non-electricity),UK Greenhouse Gas Inventory / National Inventory Document (NID)
GBR,United Kingdom,A,93,I.6,Non-specified sources,0,missing,unknown,Unknown,n/a,,,,
GBR,United Kingdom,A,93,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",1,covered,state_or_province,State / province (needs downscaling to city),yes,UK Greenhouse Gas Inventory / National Inventory Document (NID),GBR-001,,
GBR,United Kingdom,A,93,I.8,Fugitive emissions from oil & natural gas systems,6,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,Environment Agency Pollution Inventory / UK PRTR facility emissions,NAEI point sources and gridded emissions
GBR,United Kingdom,A,93,II.1,On-road transportation,11,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,Road traffic estimates by local authority (TRA89) + vehicle licensing statistics,UK road transport fuel consumption at regional and local authority level
GBR,United Kingdom,A,93,II.2,Railways,5,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,London Energy and Greenhouse Gas Inventory (LEGGI),UK Greenhouse Gas Inventory / National Inventory Document (NID)
GBR,United Kingdom,A,93,II.3,Waterborne navigation,5,covered,state_or_province,State / province (needs downscaling to city),yes,UK Greenhouse Gas Inventory / National Inventory Document (NID),GBR-001,Greenhouse gas reporting conversion factors (company reporting),DfT maritime / port freight statistics + shipping activity
GBR,United Kingdom,A,93,II.4,Aviation,5,covered,facility_or_asset,Facility / asset (point sources in cities),no,CAA airport / UK aviation statistics,GBR-012,UK Greenhouse Gas Inventory / National Inventory Document (NID),Greenhouse gas reporting conversion factors (company reporting)
GBR,United Kingdom,A,93,II.5,Off-road transportation,3,covered,facility_or_asset,Facility / asset (point sources in cities),no,Environment Agency Pollution Inventory / UK PRTR facility emissions,GBR-006,UK Greenhouse Gas Inventory / National Inventory Document (NID),Greenhouse gas reporting conversion factors (company reporting)
GBR,United Kingdom,A,93,III.1,Solid waste disposal,9,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,WasteDataFlow / local authority collected waste management statistics,London Energy and Greenhouse Gas Inventory (LEGGI)
GBR,United Kingdom,A,93,III.2,Biological treatment of waste,3,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,WasteDataFlow / local authority collected waste management statistics,UK Greenhouse Gas Inventory / National Inventory Document (NID)
GBR,United Kingdom,A,93,III.3,Incineration & open burning,4,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,WasteDataFlow / local authority collected waste management statistics,Environment Agency Pollution Inventory / UK PRTR facility emissions
