sector_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_gpc_sector,geographic_coverage,geographic_granularity,granularity_class,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Residential buildings,CAN-001,CAN-001-I.1,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),Emissions,National and provincial/territorial GHG by IPCC sector; electricity intensity; agriculture/LULUCF tables; emission factors,I.1,Canada,National; province/territory,state_or_province,1990–2024 (latest submission cycle),Annual,XLSX / PDF / open data folders,Open,Open Government Licence – Canada,No,https://data-donnees.az.ec.gc.ca/data/substances/monitor/canada-s-official-greenhouse-gas-inventory/,https://www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/inventory.html,Official UNFCCC NIR with downloadable IPCC-sector and electricity tables by province/territory.,Not municipal boundary; city inventories need downscaling or local activity data.,High,Primary official
Residential buildings,CAN-003,CAN-003-I.1,Canadian System of Environmental-Economic Accounts — energy use & GHG (SEEA PFA),Statistics Canada,Hybrid,Energy use and GHG by industry/household economic accounts; provincial GHG physical flow accounts,I.1,Canada,National; provincial/territorial GHG tables,national,~2009–2023 (PFA updates),Annual,StatCan tables / CSV,Open,Statistics Canada Open Licence,Yes (StatCan Web Data Service),https://www150.statcan.gc.ca/n1/daily-quotidien/251211/dq251211c-eng.htm,https://www150.statcan.gc.ca/n1/pub/16-509-x/16-509-x2016001-eng.htm,SEEA energy/GHG accounts complementary to NIR (different framework — do not mix totals).,Not GPC city inventory; industry classification differs from IPCC/GPC.,High,Primary official
Residential buildings,CAN-004,CAN-004-I.1,Report on Energy Supply and Demand in Canada (RESD) / energy tables,Statistics Canada / Canadian Centre for Energy Information,Activity,Energy supply/demand by fuel and sector; electricity generation/consumption context,I.1,Canada,National; provincial energy tables commonly available,national,Long annual series,Annual,StatCan tables / PDF,Open,Statistics Canada Open Licence,Yes,https://energy-information.canada.ca/en,https://www150.statcan.gc.ca/n1/en/type/data,Core national energy balance/supply-demand statistics for stationary energy and fuels.,Municipal customer-class meter data held by utilities; not in RESD.,High,Primary official
Residential buildings,CAN-005,CAN-005-I.1,Electric sales / generation statistics (StatCan & provincial utilities open releases),"Statistics Canada; provincial utilities (e.g. Hydro-Québec, BC Hydro, Ontario IESO summaries)",Activity,Electricity generation mix and sales by customer class (national/provincial); some utility open datasets,I.1,Canada / provinces,Province; utility territory; IESO/market zones,state_or_province,Annual/monthly depending on product,Monthly to annual,CSV / web / PDF,Open (aggregates),Varies (StatCan OGL; utility terms),Partial,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510001501,https://energy-information.canada.ca/en,Electricity activity foundations; pair with municipal utility extracts for city inventories.,City boundary extracts often require LDC request; class definitions vary.,High,Primary official / utility
Residential buildings,CAN-010,CAN-010-I.1,BC Community Energy and Emissions Inventory (CEEI),Government of British Columbia,Hybrid,"Community-scale building energy, on-road transport, solid waste, some land-use change estimates for BC local governments",I.1,British Columbia,Municipality / regional district,city_or_municipality,~2007–2021 published series (transport returned in 2024 release),Periodic provincial releases,Tables / open data,Open,As stated by BC (typically OGL-BC),Unknown,https://www2.gov.bc.ca/gov/content/environment/climate-change/data/ceei,https://www.crd.ca/media/file/2024-01-crd-ghg-inventory-faqs,Provincial community energy/emissions estimates — rare subnational city-relevant product.,Not full GPC BASIC+; methodology differs from municipal GPC inventories; BC-only.,High,Provincial official
Residential buildings,CAN-011,CAN-011-I.1,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,Emissions,"GPC-aligned city inventory for stationary energy, transport, waste, IPPU; progress tracking",I.1,City of Toronto,City,city_or_municipality,Multi-year series incl. 2023 SBEI report,Annual/periodic,PDF (+ supporting open data when published),Open,Not identified,No,https://www.toronto.ca/wp-content/uploads/2025/11/99d0-2023-SBEI-Reportfinal-FINAL-ua.pdf,https://www.toronto.ca/services-payments/water-environment/environmentally-friendly-city-initiatives/transformto/,Mature GPC city inventory for Canada’s largest city.,Underlying utility microdata not fully republished; CBEI separate from sector-based.,High,City official
Residential buildings,CAN-012,CAN-012-I.1,Calgary Community-wide GHG Inventory (Open Calgary),City of Calgary,Emissions,Community-wide GHG inventory open dataset for Calgary,I.1,Calgary,City,city_or_municipality,As published on Open Calgary,Periodic,Open data table,Open,As stated on Open Calgary,Yes (Socrata),https://data.calgary.ca/Environment/Community-wide-Greenhouse-Gas-GHG-Inventory/m7gu-3xk5,https://data.calgary.ca/,City GHG inventory published as open data.,Method notes must be read for GPC scope alignment; not all Canadian cities have equivalents.,High,City official
Residential buildings,CAN-019,CAN-019-I.1,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,I.1,Global including Canada,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,Modeled gap-fill/cross-check versus NIR/GHGRP/city inventories.,Prefer official Canadian sources when available.,High,International modeled
Residential buildings,CAN-023,CAN-023-I.1,Households and the Environment Survey / Survey of Household Spending (energy modules),Statistics Canada,Activity,"Household energy equipment, fuels, expenditures — residential supporting & Scope 3 proxies",I.1,Canada,National/provincial,national,Periodic survey cycles,Periodic,Tables / PUMF (may require access),Open (aggregates),Statistics Canada Open Licence,Partial,https://www.statcan.gc.ca/en/survey/household/3881,https://www.statcan.gc.ca/en,Household survey products supporting residential energy characterization and consumption analysis.,Not billed utility meters; sample-based.,High,Primary official
Commercial & institutional buildings,CAN-001,CAN-001-I.2,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),Emissions,National and provincial/territorial GHG by IPCC sector; electricity intensity; agriculture/LULUCF tables; emission factors,I.2,Canada,National; province/territory,state_or_province,1990–2024 (latest submission cycle),Annual,XLSX / PDF / open data folders,Open,Open Government Licence – Canada,No,https://data-donnees.az.ec.gc.ca/data/substances/monitor/canada-s-official-greenhouse-gas-inventory/,https://www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/inventory.html,Official UNFCCC NIR with downloadable IPCC-sector and electricity tables by province/territory.,Not municipal boundary; city inventories need downscaling or local activity data.,High,Primary official
Commercial & institutional buildings,CAN-003,CAN-003-I.2,Canadian System of Environmental-Economic Accounts — energy use & GHG (SEEA PFA),Statistics Canada,Hybrid,Energy use and GHG by industry/household economic accounts; provincial GHG physical flow accounts,I.2,Canada,National; provincial/territorial GHG tables,national,~2009–2023 (PFA updates),Annual,StatCan tables / CSV,Open,Statistics Canada Open Licence,Yes (StatCan Web Data Service),https://www150.statcan.gc.ca/n1/daily-quotidien/251211/dq251211c-eng.htm,https://www150.statcan.gc.ca/n1/pub/16-509-x/16-509-x2016001-eng.htm,SEEA energy/GHG accounts complementary to NIR (different framework — do not mix totals).,Not GPC city inventory; industry classification differs from IPCC/GPC.,High,Primary official
Commercial & institutional buildings,CAN-004,CAN-004-I.2,Report on Energy Supply and Demand in Canada (RESD) / energy tables,Statistics Canada / Canadian Centre for Energy Information,Activity,Energy supply/demand by fuel and sector; electricity generation/consumption context,I.2,Canada,National; provincial energy tables commonly available,national,Long annual series,Annual,StatCan tables / PDF,Open,Statistics Canada Open Licence,Yes,https://energy-information.canada.ca/en,https://www150.statcan.gc.ca/n1/en/type/data,Core national energy balance/supply-demand statistics for stationary energy and fuels.,Municipal customer-class meter data held by utilities; not in RESD.,High,Primary official
Commercial & institutional buildings,CAN-005,CAN-005-I.2,Electric sales / generation statistics (StatCan & provincial utilities open releases),"Statistics Canada; provincial utilities (e.g. Hydro-Québec, BC Hydro, Ontario IESO summaries)",Activity,Electricity generation mix and sales by customer class (national/provincial); some utility open datasets,I.2,Canada / provinces,Province; utility territory; IESO/market zones,state_or_province,Annual/monthly depending on product,Monthly to annual,CSV / web / PDF,Open (aggregates),Varies (StatCan OGL; utility terms),Partial,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510001501,https://energy-information.canada.ca/en,Electricity activity foundations; pair with municipal utility extracts for city inventories.,City boundary extracts often require LDC request; class definitions vary.,High,Primary official / utility
Commercial & institutional buildings,CAN-010,CAN-010-I.2,BC Community Energy and Emissions Inventory (CEEI),Government of British Columbia,Hybrid,"Community-scale building energy, on-road transport, solid waste, some land-use change estimates for BC local governments",I.2,British Columbia,Municipality / regional district,city_or_municipality,~2007–2021 published series (transport returned in 2024 release),Periodic provincial releases,Tables / open data,Open,As stated by BC (typically OGL-BC),Unknown,https://www2.gov.bc.ca/gov/content/environment/climate-change/data/ceei,https://www.crd.ca/media/file/2024-01-crd-ghg-inventory-faqs,Provincial community energy/emissions estimates — rare subnational city-relevant product.,Not full GPC BASIC+; methodology differs from municipal GPC inventories; BC-only.,High,Provincial official
